Unidade da Federacao,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01
11 Rondonia,281,279,278,295,296,301,304,306,308,309,309,309,308,306,308,309,312,307,301,314,321,320,329,333,337,335,338,344,342,344,345,343,345,345,348,348,349,345,347,352,353,358,359,360,361,361,362,364,363,365,367,368,367,371,373,376,378,377,375,375,380,385,387,386,383,379,378,382,384,397,393,399,401,401,401,398,408,420,432,440,440,443,445,447,444,448,455,458,463,464,467,466,465,467,458,457,461,461,463,465,457,466,466,472,471,470,468,464,462,461,463,461,462,458,463,452,454,456,454,460,469,468,469,470,474,472,468,475,478,475,473,477,473,478,476,479,476,475,473,475,478,479,477,472,475,465,470,469,581,637,645,650,657,659,669,675,679,681,682,683,681,683,687,688,688,687,693,691,693,695,697,698,700,696,696,700,701,705,706,711
12 Acre,168,170,170,171,172,172,172,175,175,175,175,175,175,175,175,175,176,176,177,179,181,179,182,182,183,183,186,189,191,194,196,199,202,202,203,203,202,205,205,206,207,207,208,208,208,207,208,206,209,210,213,214,212,215,216,215,220,223,226,227,226,227,226,225,230,233,233,235,234,236,242,246,250,250,251,250,252,254,256,265,266,271,276,277,277,276,277,280,279,274,270,277,280,281,281,280,281,284,291,293,293,291,289,288,291,291,289,289,291,292,290,287,290,292,290,291,293,294,295,298,297,298,298,298,297,295,299,302,302,302,300,295,284,285,291,295,297,293,294,292,294,296,290,290,291,289,289,292,375,428,443,459,458,454,456,461,465,464,466,470,471,465,465,467,475,479,477,482,480,479,485,488,488,489,487,489,488,489,490,493
13 Amazonas,622,613,616,608,636,641,639,642,651,652,653,655,657,658,657,656,657,675,677,678,677,680,693,697,698,706,709,710,702,705,683,685,691,694,694,693,696,694,692,697,698,701,701,704,700,709,710,715,725,735,735,734,732,732,730,727,729,733,735,735,728,723,743,750,748,747,754,758,764,772,775,794,795,794,804,812,828,828,858,862,872,873,866,874,865,879,918,928,939,940,936,939,952,956,960,972,972,973,976,978,977,971,972,979,982,981,979,968,964,981,981,973,976,965,968,964,965,969,975,983,995,998,997,999,993,997,999,1006,1006,973,978,970,946,956,977,997,1015,1018,1012,1014,1028,1037,1037,1051,1081,1080,1069,1082,1792,1857,1915,1936,1945,1984,1991,1998,2002,2009,2035,2040,2053,2054,2071,2085,2088,2094,2107,2103,2110,2111,2107,2117,2113,2116,2116,2122,2132,2135,2132,2134
14 Roraima,95,93,93,94,95,97,100,100,100,102,102,101,101,102,100,102,102,104,109,110,109,112,113,111,115,118,118,112,118,116,116,113,116,119,118,118,117,120,120,122,121,121,123,123,122,119,122,124,123,119,118,121,119,119,120,119,119,119,117,120,120,121,123,123,123,122,121,117,121,116,113,115,119,116,122,122,124,123,122,123,123,124,126,126,127,123,120,126,125,130,130,132,132,136,138,138,136,133,133,136,136,138,138,135,137,137,137,137,133,159,171,152,165,151,149,151,166,160,155,167,162,165,166,168,165,174,177,167,172,174,174,170,162,161,150,151,159,155,165,163,160,161,160,158,165,161,155,172,227,244,256,269,269,276,277,277,276,276,278,280,284,294,295,294,301,301,301,302,302,302,296,301,302,302,302,302,302,302,301,303
15 Para,1060,1066,1082,1100,1123,1132,1148,1158,1159,1164,1172,1190,1189,1188,1191,1199,1202,1206,1218,1238,1250,1260,1258,1259,1250,1261,1277,1280,1290,1295,1313,1317,1322,1338,1345,1349,1349,1349,1357,1354,1366,1369,1387,1394,1394,1396,1405,1417,1433,1454,1457,1464,1466,1475,1491,1497,1504,1506,1515,1527,1527,1532,1535,1530,1541,1547,1565,1572,1577,1590,1597,1599,1610,1622,1624,1636,1662,1687,1701,1714,1742,1744,1768,1770,1767,1774,1784,1815,1821,1831,1846,1861,1860,1869,1886,1896,1896,1891,1901,1895,1905,1911,1918,1947,1954,1950,1959,1951,1957,1955,1968,1923,1984,1987,1997,2027,2038,2056,2074,2078,2089,2095,2087,2102,2137,2114,2145,2161,2187,2188,2174,2192,2181,2136,2173,2200,2203,2206,2210,2226,2232,2231,2233,2233,2246,2248,2255,2261,2927,3185,3252,3292,3312,3316,3319,3331,3471,3488,3502,3523,3537,3532,3552,3566,3611,3633,3667,3674,3680,3702,3711,3714,3726,3738,3747,3760,3771,3775,3774,3786
16 Amapa,145,145,145,148,148,148,155,162,163,163,163,163,156,162,166,172,175,177,177,177,180,176,176,180,180,178,180,182,183,183,183,183,182,182,181,183,182,182,183,182,181,183,171,174,184,182,185,186,184,181,186,190,191,188,192,192,192,191,186,187,192,187,190,188,189,187,185,181,180,176,173,180,181,180,180,177,172,192,197,202,202,202,202,200,193,194,193,194,198,199,198,205,206,206,206,206,207,207,208,209,208,207,206,202,206,201,205,191,194,191,192,190,182,166,160,162,164,163,156,146,182,190,196,193,205,212,214,212,212,212,210,206,204,203,205,198,200,191,191,189,194,163,181,182,218,212,217,222,222,275,333,352,353,357,365,365,367,365,366,367,368,371,373,366,374,378,382,376,387,387,386,387,389,389,390,391,391,392,392,392
17 Tocantins,422,420,428,429,431,426,432,428,430,426,432,429,430,431,432,438,438,440,436,440,442,442,444,444,443,443,440,445,448,449,446,446,448,454,449,454,454,454,455,457,454,456,458,459,464,462,463,463,462,462,465,464,464,466,470,470,475,476,470,473,472,470,469,477,475,484,493,496,507,519,521,530,542,561,575,583,591,593,610,614,608,617,617,621,615,615,619,626,623,626,632,636,633,639,639,640,641,633,638,641,643,640,661,672,674,673,672,670,670,665,670,677,677,679,682,689,692,692,691,697,702,700,704,715,718,716,719,719,722,721,719,717,727,726,697,724,726,725,734,728,731,739,741,747,747,744,746,751,1001,1099,1117,1181,1189,1189,1196,1192,1195,1204,1208,1214,1215,1213,1222,1230,1234,1242,1251,1254,1255,1256,1256,1256,1256,1258,1258,1258,1257,1261,1262,1268
21 Maranhao,1795,1799,1805,1817,1830,1838,1840,1850,1857,1859,1864,1864,1879,1892,1884,1896,1898,1908,1904,1925,1933,1942,1928,1957,1962,1973,1992,2001,2009,2008,2022,2019,2026,2036,2031,2037,2041,2048,2054,2050,2053,2052,2047,2048,2054,2054,2053,2054,2046,2063,2078,2084,2087,2091,2088,2088,2096,2090,2082,2071,2079,2105,2122,2121,2144,2137,2140,2154,2154,2173,2178,2200,2209,2212,2201,2206,2221,2237,2249,2260,2277,2288,2310,2313,2325,2328,2338,2347,2344,2357,2378,2380,2384,2389,2393,2393,2396,2397,2395,2395,2391,2401,2405,2408,2413,2414,2411,2400,2412,2415,2409,2422,2424,2418,2451,2462,2474,2495,2495,2510,2536,2540,2541,2539,2547,2547,2551,2567,2583,2587,2591,2595,2577,2579,2583,2591,2592,2585,2609,2602,2621,2641,2649,2655,2667,2678,2683,2685,3901,4057,4149,4237,4260,4304,4304,4303,4326,4346,4358,4367,4360,4370,4432,4485,4528,4565,4594,4609,4620,4615,4623,4623,4624,4625,4627,4641,4652,4664,4667,4672
22 Piaui,1055,1056,1072,1081,1081,1086,1090,1102,1097,1105,1104,1104,1109,1108,1108,1115,1121,1122,1122,1132,1146,1149,1154,1150,1154,1157,1157,1156,1163,1166,1171,1177,1173,1184,1195,1198,1202,1200,1182,1194,1221,1225,1216,1219,1215,1218,1228,1230,1226,1236,1225,1229,1240,1211,1201,1240,1235,1250,1241,1253,1256,1253,1253,1261,1258,1270,1280,1314,1319,1366,1371,1422,1447,1448,1476,1494,1508,1512,1524,1536,1548,1555,1561,1557,1560,1552,1562,1569,1572,1585,1585,1571,1578,1592,1598,1588,1592,1591,1594,1596,1603,1566,1601,1597,1603,1598,1598,1585,1590,1587,1599,1603,1606,1607,1618,1623,1628,1627,1613,1637,1649,1647,1649,1643,1639,1650,1648,1653,1643,1646,1645,1646,1634,1629,1630,1637,1634,1633,1645,1648,1650,1655,1654,1653,1659,1662,1661,1661,2472,2851,2891,2915,2915,2916,2922,2920,2927,2923,2926,2925,2931,2930,2939,2946,2947,2955,2960,2961,2965,2964,2969,2979,2983,2983,2983,2979,2989,2992,2991,2992
23 Ceara,1873,1822,1824,1791,1800,1836,1871,1884,1913,1932,1934,1926,1960,1966,1972,1973,1986,2010,2013,2022,2012,2013,2028,2068,2093,2092,2106,2116,2114,2130,2220,2267,2264,2259,2268,2288,2292,2302,2299,2309,2306,2314,2326,2339,2345,2356,2364,2378,2376,2374,2378,2400,2408,2419,2429,2437,2451,2457,2415,2454,2461,2436,2475,2486,2494,2497,2490,2520,2529,2539,2571,2605,2622,2616,2646,2652,2695,2710,2758,2772,2785,2786,2807,2811,2817,2822,2855,2865,2868,2869,2883,2896,2905,2904,2919,2925,2925,2926,2938,2934,2950,2963,2971,2977,2987,2969,2980,2946,2962,2954,2997,2995,2997,3010,3017,3034,3034,3047,3052,3065,3102,3111,3109,3118,3122,3121,3114,3121,3127,3131,3130,3134,3138,3131,3124,3114,3136,3154,3158,3169,3176,3171,3180,3177,3226,3234,3244,3270,5076,5196,5235,5370,5380,5396,5399,5395,5393,5403,5397,5395,5404,5405,5438,5483,5508,5525,5545,5553,5581,5601,5617,5639,5644,5655,5671,5680,5698,5712,5727,5735
