"Mes notificação","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Total"
"Janeiro","-",10525,13565,40968,6796,9610,13141,22893,5052,22610,13520,158680
"Fevereiro","-",15456,23680,56281,8357,12421,22368,36659,9689,36561,20854,242326
"Marco","-",15432,39613,51274,12383,16959,39287,40326,12947,64633,33924,326778
"Abril","-",20122,40864,31856,12058,18286,47245,34034,15919,74804,33935,329123
"Maio","-",20704,43733,14494,14404,16972,50571,24858,15621,59430,28221,289008
"Junho","-",11668,23747,5987,9768,7899,29327,15530,11119,24561,12521,152127
"Julho","-",5703,8466,2540,3758,3459,10133,8343,5470,12353,1848,62073
"Agosto","-",3261,4686,2170,2362,2696,4530,3847,3115,9297,"-",35964
"Setembro","-",2612,3178,2103,1971,2167,3607,2874,2610,8028,"-",29150
"Outubro","-",3119,4014,2543,2540,3135,4179,2242,3110,7420,"-",32302
"Novembro","-",3645,8042,3301,2728,5013,4894,2810,6683,9711,"-",46827
"Dezembro",391,4847,19105,4411,2927,8537,7405,3568,20909,11797,"-",83897
"Total",391,117094,232693,217928,80052,107154,236687,197984,112244,341205,144823,1788255
" Fonte: Ministerio da Saude/SVS - Sistema de Informacao de Agravos de Notificacao - Sinan Net",,,,,,,,,,,,
