"Mes notificação","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Total"
"Janeiro","-",4239,7536,38864,6110,2646,4891,6347,2395,3409,6284,82721
"Fevereiro","-",5657,13522,72375,8739,3180,9170,11450,6009,7823,9606,147531
"Marco","-",6803,44231,78706,13569,5703,12988,17754,9197,20524,15437,224912
"Abril","-",11159,58290,47646,17871,11407,25824,25586,11695,38824,15900,264202
"Maio","-",15920,56477,33949,13254,12303,44316,29773,19069,55881,16785,297727
"Junho","-",12910,35668,20000,8050,8762,34213,23319,22781,45728,13440,224871
"Julho","-",10862,21394,11764,4748,6517,29297,15553,20651,28088,2755,151629
"Agosto","-",6620,12769,7659,3829,5222,20472,7791,13476,19423,"-",97261
"Setembro","-",4836,11956,4123,2445,2998,13107,4813,8687,9723,"-",62688
"Outubro","-",3911,11748,3465,2308,2782,9250,3370,5683,5465,"-",47982
"Novembro","-",3549,23791,3892,2011,2662,6136,2580,4688,4653,"-",53962
"Dezembro",158,4023,31569,3628,1911,2379,4581,2269,6095,3592,"-",60205
"Total",158,90489,328951,326071,84845,66561,214245,150605,130426,243133,80207,1715691
" Fonte: Ministerio da Saude/SVS - Sistema de Informacao de Agravos de Notificacao - Sinan Net",,,,,,,,,,,,
