"Mes notificação","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Total"
"Janeiro","-",2505,4126,5461,3666,1336,4904,5287,5187,6914,6375,45761
"Fevereiro","-",2596,3817,8597,4536,1396,5321,3687,6137,6957,6052,49096
"Marco","-",2859,5379,7451,3976,1919,4544,3317,6002,7000,6374,48821
"Abril","-",2838,3914,5735,2419,1905,4084,1986,3454,6897,4517,37749
"Maio","-",2716,3367,3560,1957,1495,3142,1971,2539,6044,3442,30233
"Junho","-",1898,2334,1894,1027,864,1342,1311,1910,3337,2115,18032
"Julho","-",1491,1543,1183,674,638,735,853,1355,2056,465,10993
"Agosto","-",2441,1432,879,806,823,702,554,1037,1356,"-",10030
"Setembro","-",7884,1248,680,595,825,760,469,826,1304,"-",14591
"Outubro","-",9288,1083,730,655,1583,1762,563,991,1946,"-",18601
"Novembro","-",6922,1329,925,751,2451,3986,1217,2868,2535,"-",22984
"Dezembro",135,4864,2775,1526,925,2554,4836,2568,8289,3957,"-",32429
"Total",135,48302,32347,38621,21987,17789,36118,23783,40595,50303,29340,339320
" Fonte: Ministerio da Saude/SVS - Sistema de Informacao de Agravos de Notificacao - Sinan Net",,,,,,,,,,,,
