"Mes notificação","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Total"
"Janeiro","-",2423,35229,32071,965,1168,20439,32472,4652,6690,13317,149426
"Fevereiro","-",10202,110187,52475,1036,1269,46577,57679,16882,13802,34070,344179
"Marco","-",29645,246752,56623,1192,1971,64478,49314,35165,60699,84616,630455
"Abril","-",85755,205723,38741,934,2388,111897,32151,49019,110685,96871,734164
"Maio","-",62905,101232,15159,699,2324,122108,17443,28042,100220,64364,514496
"Setembro","-",17706,24728,3030,440,1134,42851,6779,10268,27903,19645,154484
"Julho","-",5264,5881,1101,314,793,13677,3266,3113,10918,2651,46978
"Agosto","-",1967,2712,608,368,577,4490,1710,1634,5863,"-",19929
"Setembro","-",1629,1769,551,616,438,2842,1420,1443,3082,"-",13790
"Outubro","-",1969,2044,786,989,780,3132,1283,1275,3017,"-",15275
"Novembro","-",2503,3754,1123,941,1615,4293,1194,1964,3398,"-",20785
"Dezembro",56,5001,9761,1129,974,4157,7596,1780,5070,4707,"-",40231
"Total",56,226969,749772,203397,9468,18614,444380,206491,158527,350984,315534,2684192
" Fonte: Ministerio da Saude/SVS - Sistema de Informacao de Agravos de Notificacao - Sinan Net",,,,,,,,,,,,
