"Mes notificação","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Total"
"Janeiro","-",1454,1381,8872,470,204,507,27532,2707,703,2423,46253
"Fevereiro","-",2866,3798,17999,344,202,1420,66932,4728,3946,10245,112480
"Marco","-",4605,13005,22321,303,166,4012,82060,10611,62925,63486,263494
"Abril","-",6393,18031,16575,188,302,10023,55643,23286,120200,139555,390196
"Maio","-",4615,8243,3410,170,229,14547,26904,16937,90601,117133,282789
"Junho","-",986,2722,459,98,82,5565,10842,4402,18486,37835,81477
"Julho","-",539,675,249,70,78,2003,3587,865,5864,5250,19180
"Agosto","-",368,416,170,100,42,654,824,419,1996,"-",4989
"Setembro","-",238,294,167,199,44,495,570,307,927,"-",3241
"Outubro","-",332,325,280,200,120,872,709,228,785,"-",3851
"Novembro","-",324,785,408,214,92,2553,1502,294,914,"-",7086
"Dezembro",66,342,2435,415,248,178,6895,2520,396,1359,"-",14854
"Total",66,23062,52110,71325,2604,1739,49546,279625,65180,308706,375927,1229890
" Fonte: Ministerio da Saude/SVS - Sistema de Informacao de Agravos de Notificacao - Sinan Net",,,,,,,,,,,,
