"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"31 ESF3SB_M1 - ESF TIPO III COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";245;143;1;18;1;17;5;8;-;-;-;-;-;1;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;6;-;5;1;-;465
"12 Acre";70;131;1;21;-;21;4;8;6;-;5;6;1;-;2;-;-;-;3;1;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;3;-;1;289
"13 Amazonas";267;403;42;58;-;70;10;68;6;2;11;68;30;4;-;-;-;-;13;6;-;-;-;-;-;-;-;-;-;-;-;6;1;-;1;-;-;2;-;-;-;4;2;4;-;2;1080
"14 Roraima";53;66;10;-;-;9;5;12;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;161
"15 Par�";632;881;30;336;1;149;18;14;7;-;43;27;8;4;-;-;1;-;32;31;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;4;-;5;9;-;1;-;-;8;-;2;2248
"16 Amap�";50;123;4;5;-;18;3;-;1;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;-;-;-;-;-;-;-;-;212
"17 Tocantins";92;398;18;10;-;31;25;8;16;1;-;-;-;-;-;-;-;-;5;4;-;13;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;86;-;-;3;29;-;2;-;-;744
"21 Maranh�o";682;1527;26;108;-;214;33;6;9;-;-;3;-;-;-;-;-;-;15;11;-;-;-;-;-;1;2;-;1;-;-;-;-;-;2;-;-;9;3;1;3;7;4;3;6;1;2677
"22 Piau�";92;1218;42;2;-;106;60;-;2;-;-;-;-;4;-;-;-;-;4;13;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;97;10;1;3;1;1;1;4;-;1662
"23 Cear�";680;1798;147;78;-;268;38;16;71;2;-;-;-;-;-;-;-;-;45;37;4;12;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;12;-;1;4;-;13;2;3;3234
"24 Rio Grande do Norte";90;973;7;4;-;86;38;-;7;-;-;-;-;-;-;-;-;-;10;9;-;-;-;-;-;1;1;-;9;14;-;-;-;5;-;-;-;54;6;-;-;3;1;1;4;3;1326
"25 Para�ba";115;1340;24;8;-;153;56;3;5;-;-;-;-;-;-;-;-;-;18;25;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;77;19;-;-;2;2;1;2;-;1855
"26 Pernambuco";513;1818;49;179;-;247;28;20;17;1;-;-;-;-;-;-;1;-;30;20;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;5;6;-;3;5;1;2;-;25;2975
"27 Alagoas";156;705;24;16;-;97;26;7;6;-;-;-;-;-;-;-;-;-;23;36;-;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;12;22;-;-;-;-;6;1;2;1146
"28 Sergipe";171;490;1;10;2;48;17;1;13;-;-;-;-;1;-;-;-;-;8;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;12;5;-;1;-;-;-;-;-;792
"29 Bahia";971;2898;13;280;10;364;113;15;27;-;-;-;-;4;1;-;6;-;45;58;-;2;-;-;-;-;-;-;1;1;-;-;3;2;5;-;-;12;24;-;-;2;2;1;9;4;4873
"31 Minas Gerais";2234;2757;789;43;19;492;218;8;1;-;-;-;-;6;-;-;2;-;87;59;-;6;-;-;-;1;-;-;-;-;-;-;2;12;4;-;-;254;17;1;2;20;6;13;13;13;7079
"32 Esp�rito Santo";323;510;3;47;-;26;12;5;16;-;-;-;-;43;13;-;5;-;1;1;-;1;-;-;2;1;3;-;1;3;-;-;-;2;2;-;-;1;-;1;-;-;-;10;1;14;1047
"33 Rio de Janeiro";1483;1020;121;235;1;205;12;1;46;9;-;-;-;20;-;-;8;1;70;39;-;2;-;-;-;94;20;10;79;28;10;-;5;6;14;-;-;-;4;-;8;-;-;1;-;5;3557
"35 S�o Paulo";3178;2290;245;459;43;372;73;4;27;10;-;-;-;187;35;3;117;2;202;91;9;5;1;1;-;94;35;13;40;18;3;-;12;9;34;5;1;137;11;1;15;13;1;15;2;2;7815
"41 Paran�";1133;1011;302;168;2;148;81;2;9;3;-;-;-;15;3;-;43;3;22;11;2;2;-;-;-;16;2;1;12;4;2;-;4;5;3;4;1;102;2;-;2;3;1;1;1;3;3129
"42 Santa Catarina";881;1004;53;43;1;122;64;2;11;-;-;-;-;6;-;-;3;-;13;8;2;2;-;-;-;1;2;-;-;-;-;-;3;1;1;4;-;121;3;-;1;11;3;4;2;7;2379
"43 Rio Grande do Sul";1044;1033;44;141;-;71;49;8;9;4;-;-;-;20;6;1;15;1;35;12;1;2;-;-;-;14;10;2;31;10;5;-;2;4;2;12;-;110;6;-;6;6;2;24;4;7;2753
"50 Mato Grosso do Sul";40;562;14;82;1;41;21;21;22;-;-;-;-;1;-;-;1;-;8;8;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;15;3;1;1;21;8;10;4;4;892
"51 Mato Grosso";208;508;48;64;7;29;23;17;1;-;-;-;-;-;-;-;-;-;8;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;38;1;-;-;2;-;1;1;-;961
"52 Goi�s";395;1072;87;11;4;89;41;1;-;-;-;-;-;19;-;-;2;-;33;36;-;-;-;-;-;2;1;-;-;1;-;-;6;1;2;-;-;108;14;-;-;35;10;12;2;1;1985
"53 Distrito Federal";316;209;-;9;-;33;-;-;1;-;-;-;-;-;-;-;-;-;14;9;-;4;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;1;4;2;-;5;610
"Total";16114;26888;2145;2435;92;3526;1073;255;336;32;61;106;39;335;60;4;204;8;753;541;18;54;1;1;2;225;76;26;174;80;20;8;46;69;76;29;4;1267;177;6;50;175;48;143;59;105;57946
