"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;1;-;1;-;-;-;7;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;432;173;24;1;18;2;9;681
"12 Acre";4;-;-;2;-;1;-;10;-;-;-;1;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;250;153;23;1;4;1;16;471
"13 Amazonas";-;-;-;2;-;-;-;71;-;-;-;1;-;-;-;-;13;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;985;734;79;3;12;-;147;2053
"14 Roraima";-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;146;86;16;-;4;-;1;284
"15 Par�";4;-;-;8;-;2;-;16;-;-;2;-;-;-;-;-;38;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;2005;1128;145;5;13;3;122;3537
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;192;142;24;2;2;-;1;368
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;560;462;139;1;27;-;5;1215
"21 Maranh�o";8;3;-;2;-;3;-;12;-;-;-;-;-;-;-;-;15;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1;-;-;-;-;-;2376;1655;220;2;20;12;10;4360
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1;-;-;-;-;-;1361;1272;252;1;11;-;4;2931
"23 Cear�";2;1;-;3;-;13;-;21;2;-;-;-;-;-;-;-;58;41;1;-;-;-;-;-;-;-;-;1;-;-;-;-;14;-;-;-;-;-;-;2809;2117;284;1;22;3;11;5404
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;-;9;9;-;-;-;-;-;1;-;-;-;-;-;-;-;1;6;-;2;-;-;-;-;1120;1074;156;5;10;-;5;2408
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;22;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;1508;1404;273;5;11;19;6;3310
"26 Pernambuco";-;-;-;34;-;4;-;22;1;-;-;-;-;-;-;-;33;24;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8;-;-;-;-;-;-;2576;2023;248;7;35;2;53;5071
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;24;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;925;768;130;6;9;3;7;1945
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;14;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;698;477;71;1;3;3;4;1292
"29 Bahia";12;12;-;52;5;5;-;16;-;-;-;-;-;-;-;-;55;74;-;-;-;-;-;-;-;-;-;-;3;-;-;-;32;-;-;-;-;-;-;4212;3244;402;12;24;29;205;8394
"31 Minas Gerais";42;13;3;9;5;23;2;9;-;-;-;-;4;-;-;-;98;73;-;-;-;-;-;-;-;-;-;-;-;-;-;1;24;1;-;-;2;-;2;5881;3898;875;18;79;27;224;11313
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;-;4;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;924;662;33;5;25;13;160;1870
"33 Rio de Janeiro";70;11;7;38;1;2;2;2;1;1;-;-;7;-;-;3;76;46;-;-;12;2;1;10;2;2;1;-;-;-;-;-;5;1;-;-;-;-;-;3055;1455;220;26;11;5;209;5284
"35 S�o Paulo";68;16;1;121;14;16;10;5;3;-;-;-;48;8;2;24;223;101;1;-;2;-;-;3;-;-;3;1;3;5;7;5;15;1;-;1;4;1;-;6484;3960;578;57;83;30;1869;13773
"41 Paran�";25;4;1;14;1;7;3;2;-;-;-;-;-;-;-;-;26;14;-;-;-;-;-;-;-;-;1;1;-;2;-;3;7;-;1;-;-;-;-;2618;1718;290;7;11;25;382;5163
"42 Santa Catarina";5;2;1;7;-;3;1;3;-;-;-;-;1;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;6;4;-;-;-;-;1;-;2043;1297;271;5;26;7;107;3816
"43 Rio Grande do Sul";6;3;-;28;-;9;2;10;1;-;-;-;10;6;1;1;40;14;-;-;-;-;-;1;-;-;-;-;-;14;-;-;7;-;-;1;-;-;-;2389;1398;192;9;46;42;558;4788
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;22;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;-;-;-;741;629;72;3;53;3;11;1569
"51 Mato Grosso";1;-;-;4;-;-;-;18;-;-;-;-;-;-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;872;619;85;2;11;-;30;1654
"52 Goi�s";1;-;-;4;-;10;-;1;-;-;-;-;1;-;-;1;35;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;1603;1274;198;9;62;11;89;3359
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;15;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;603;272;35;3;14;-;-;957
