"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;-;-;1;-;-;-;7;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;436;181;25;1;18;2;16;701
"12 Acre";2;-;-;1;-;1;-;7;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;259;164;15;1;6;4;23;488
"13 Amazonas";-;-;-;2;-;-;-;66;-;-;1;-;-;-;-;22;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1021;772;77;3;12;1;146;2132
"14 Roraima";-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;155;99;16;-;4;-;1;302
"15 Par�";1;-;-;5;-;2;-;17;-;1;-;-;-;-;-;47;49;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;2067;1235;132;6;20;13;161;3771
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;199;147;24;2;2;-;11;391
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;585;476;135;2;23;3;10;1257
"21 Maranh�o";8;1;-;1;-;2;-;12;-;-;-;-;-;-;-;19;26;-;-;-;-;-;-;-;-;-;-;-;-;-;17;1;-;-;-;-;-;2521;1744;208;3;22;45;22;4652
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;16;-;-;-;-;-;-;-;-;-;-;-;-;-;10;1;-;-;-;-;-;1384;1288;247;1;13;18;4;2989
"23 Cear�";-;-;-;3;-;13;-;22;-;-;-;-;-;-;-;63;51;1;-;-;-;-;-;-;-;1;-;-;-;-;21;-;-;-;-;-;-;2899;2275;275;3;20;15;36;5698
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;11;13;-;-;-;-;1;-;-;-;-;-;-;-;1;10;-;2;-;-;-;-;1155;1092;153;5;21;2;13;2489
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;25;42;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;1545;1448;250;5;18;26;15;3410
"26 Pernambuco";-;-;-;34;-;4;-;20;1;-;-;-;-;-;-;40;35;-;-;-;-;-;-;-;-;-;-;-;-;1;15;-;-;-;-;-;-;2663;2107;231;9;63;4;89;5316
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;24;40;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;938;806;128;6;10;8;24;2021
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;15;19;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;725;508;68;1;7;11;26;1392
"29 Bahia";12;12;-;48;5;5;-;16;-;-;-;-;-;-;-;65;92;-;-;-;-;-;-;-;-;-;3;-;-;-;45;-;-;-;-;-;-;4314;3431;366;13;32;82;251;8792
"31 Minas Gerais";39;11;3;9;5;21;1;10;-;-;-;4;-;-;-;105;79;-;-;-;-;-;-;-;-;-;-;-;-;1;29;3;-;-;2;-;2;6063;4221;840;24;122;55;268;11917
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;3;4;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;986;697;40;9;30;19;191;2019
"33 Rio de Janeiro";53;9;6;36;1;2;1;2;-;-;-;6;-;-;3;82;48;-;-;7;1;10;1;1;1;-;-;-;-;-;6;2;-;-;-;-;-;3329;1608;246;33;32;30;253;5809
"35 S�o Paulo";58;14;1;93;13;15;8;5;3;-;-;38;7;2;13;242;113;-;-;2;-;2;-;-;2;1;3;5;6;5;14;1;-;-;2;1;-;6676;4297;596;59;119;47;2473;14936
"41 Paran�";24;4;1;13;1;7;3;3;-;-;-;-;-;-;-;37;20;-;-;-;-;-;-;-;1;1;-;2;-;3;10;-;-;-;-;-;-;2684;1934;278;10;20;92;437;5585
"42 Santa Catarina";5;2;1;7;-;1;1;4;-;-;-;1;-;-;-;24;12;-;-;-;-;-;-;-;-;-;-;-;-;1;9;45;-;-;-;1;-;2192;1411;504;5;38;32;185;4481
"43 Rio Grande do Sul";1;1;-;25;-;4;2;10;1;-;-;-;1;-;-;42;13;-;-;-;-;1;-;-;-;-;-;2;-;-;12;-;-;1;-;-;-;2498;1569;157;12;67;91;608;5118
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;25;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;750;651;96;4;72;9;23;1666
"51 Mato Grosso";-;-;-;4;-;-;-;19;-;-;-;-;-;-;-;6;6;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;895;667;76;3;15;2;47;1743
"52 Goi�s";1;-;-;4;-;10;-;2;-;-;-;1;-;-;-;44;54;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;1691;1328;156;11;74;59;137;3603
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;619;298;42;5;27;8;-;1031
"Total";223;63;12;309;25;104;20;300;5;1;1;50;8;2;16;973;772;1;1;9;1;14;1;1;4;3;6;9;6;13;314;55;3;1;4;2;2;51249;36454;5381;236;907;678;5470;103709
