"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;-;-;1;-;-;-;8;-;-;-;-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;442;194;26;1;18;2;19;724
"12 Acre";2;-;-;1;-;1;-;7;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;258;167;14;1;6;4;27;493
"13 Amazonas";-;-;-;2;-;-;-;62;-;-;-;-;-;-;23;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1019;761;75;3;12;1;138;2106
"14 Roraima";-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154;100;16;-;4;-;1;302
"15 Par�";1;-;-;5;-;2;-;17;-;1;-;-;-;-;47;51;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;2095;1247;126;7;21;14;163;3815
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;202;149;24;2;2;-;11;397
"17 Tocantins";-;-;-;-;-;3;-;7;-;-;-;-;-;-;6;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;593;477;136;2;24;3;10;1266
"21 Maranh�o";8;1;-;1;-;2;-;11;-;-;-;-;-;-;19;26;-;-;-;-;-;-;-;-;-;-;-;-;-;16;1;-;-;-;-;-;2555;1754;202;6;29;48;22;4701
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;16;-;-;-;-;-;-;-;-;-;-;-;-;-;10;1;-;-;-;-;-;1387;1294;247;2;14;17;4;2999
"23 Cear�";-;-;-;3;-;12;-;22;-;-;-;-;-;-;64;56;1;-;-;-;-;-;-;-;1;-;-;-;-;23;-;-;-;-;-;-;2937;2289;271;3;21;19;37;5759
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;11;13;-;-;-;-;1;-;-;-;-;-;-;-;1;10;-;2;-;-;-;-;1160;1097;154;5;21;2;21;2508
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;23;42;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;1548;1448;248;5;18;27;15;3412
"26 Pernambuco";-;-;-;34;-;4;-;21;1;-;-;-;-;-;43;40;-;-;-;-;-;-;-;-;-;-;-;-;1;20;-;-;-;-;-;-;2687;2127;229;9;62;4;90;5372
"27 Alagoas";3;-;-;-;-;-;-;8;-;-;-;-;-;-;24;42;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;933;805;127;6;8;8;24;2015
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;15;19;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;728;511;66;1;7;11;25;1395
"29 Bahia";12;12;-;48;5;5;-;16;-;-;-;-;-;-;66;94;-;-;-;-;-;-;-;-;-;3;-;-;-;53;-;-;-;-;-;-;4347;3458;372;15;32;81;257;8876
"31 Minas Gerais";39;11;3;9;5;21;1;9;-;-;4;-;-;-;110;84;-;-;-;-;-;-;-;-;-;-;-;-;1;31;3;-;-;2;-;2;6124;4221;833;26;122;55;278;11994
