"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"Total"
"11 Rond�nia";105;107;14;57;12;295
"12 Acre";29;102;2;37;1;171
"13 Amazonas";209;256;25;117;1;608
"14 Roraima";47;46;-;1;-;94
"15 Par�";413;358;6;323;-;1100
"16 Amap�";43;76;2;27;-;148
"17 Tocantins";96;263;2;67;1;429
"21 Maranh�o";531;1162;22;102;-;1817
"22 Piau�";187;848;30;16;-;1081
"23 Cear�";318;1259;67;144;3;1791
"24 Rio Grande do Norte";74;784;1;30;-;889
"25 Para�ba";116;1108;6;19;4;1253
"26 Pernambuco";495;1182;78;194;5;1954
"27 Alagoas";147;557;30;31;-;765
"28 Sergipe";148;388;3;20;-;559
"29 Bahia";730;1622;17;509;9;2887
"31 Minas Gerais";1905;1462;354;150;21;3892
"32 Esp�rito Santo";172;343;1;129;3;648
"33 Rio de Janeiro";798;546;53;170;31;1598
"35 S�o Paulo";1877;1190;76;447;68;3658
"41 Paran�";580;675;386;228;3;1872
"42 Santa Catarina";567;685;21;97;-;1370
"43 Rio Grande do Sul";530;561;18;153;-;1262
"50 Mato Grosso do Sul";13;353;26;93;1;486
"51 Mato Grosso";191;292;38;64;6;591
"52 Goi�s";296;624;124;38;-;1082
"53 Distrito Federal";58;10;9;47;9;133
"Total";10675;16859;1411;3310;178;32433
