"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"Total"
"11 Rond�nia";104;113;14;60;12;1;-;304
"12 Acre";32;102;2;35;1;-;-;172
"13 Amazonas";217;257;32;127;1;5;-;639
"14 Roraima";46;50;1;3;-;-;-;100
"15 Par�";433;375;8;332;-;-;-;1148
"16 Amap�";47;80;2;25;-;1;-;155
"17 Tocantins";92;264;3;70;1;1;1;432
"21 Maranh�o";538;1170;22;105;-;4;1;1840
"22 Piau�";182;852;31;15;-;8;2;1090
"23 Cear�";331;1276;87;123;2;51;1;1871
"24 Rio Grande do Norte";71;796;1;29;-;6;1;904
"25 Para�ba";107;1128;6;23;4;16;-;1284
"26 Pernambuco";473;1233;86;191;5;16;-;2004
"27 Alagoas";140;570;30;29;-;21;-;790
"28 Sergipe";146;393;2;28;-;-;-;569
"29 Bahia";715;1697;16;520;9;18;4;2979
"31 Minas Gerais";1888;1508;381;167;22;71;6;4043
"32 Esp�rito Santo";174;360;1;139;3;-;-;677
"33 Rio de Janeiro";815;557;64;175;31;2;1;1645
"35 S�o Paulo";1857;1250;84;462;69;15;1;3738
"41 Paran�";590;706;390;222;3;6;-;1917
"42 Santa Catarina";555;708;25;96;-;6;-;1390
"43 Rio Grande do Sul";535;594;18;154;3;4;-;1308
"50 Mato Grosso do Sul";13;362;26;91;1;3;3;499
"51 Mato Grosso";185;303;42;69;6;-;1;606
"52 Goi�s";270;646;137;41;-;-;-;1094
"53 Distrito Federal";58;10;9;48;9;-;-;134
"Total";10614;17360;1520;3379;182;255;22;33332
