"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"Total"
"11 Rond�nia";103;115;14;63;12;1;-;-;308
"12 Acre";30;105;2;37;1;-;-;-;175
"13 Amazonas";217;261;32;129;1;11;-;-;651
"14 Roraima";47;50;1;2;-;-;-;-;100
"15 Par�";429;383;8;338;-;1;-;-;1159
"16 Amap�";50;83;2;21;-;7;-;-;163
"17 Tocantins";91;261;3;72;1;1;1;-;430
"21 Maranh�o";540;1182;22;106;-;6;1;-;1857
"22 Piau�";182;854;33;16;-;10;2;-;1097
"23 Cear�";336;1284;91;139;3;60;-;-;1913
"24 Rio Grande do Norte";73;795;1;28;-;7;1;-;905
"25 Para�ba";108;1129;6;23;4;24;-;-;1294
"26 Pernambuco";475;1262;87;200;5;24;-;-;2053
"27 Alagoas";145;564;29;29;-;23;-;-;790
"28 Sergipe";134;402;3;33;-;-;-;-;572
"29 Bahia";724;1703;16;526;9;29;7;3;3017
"31 Minas Gerais";1897;1561;410;178;27;117;8;-;4198
"32 Esp�rito Santo";183;365;1;134;3;-;-;-;686
"33 Rio de Janeiro";814;586;66;191;31;2;1;-;1691
"35 S�o Paulo";1862;1282;89;479;69;16;1;-;3798
"41 Paran�";578;717;387;227;3;16;1;1;1930
"42 Santa Catarina";565;715;26;94;-;9;1;-;1410
"43 Rio Grande do Sul";544;608;18;155;4;4;-;-;1333
"50 Mato Grosso do Sul";14;364;26;96;1;3;6;-;510
"51 Mato Grosso";179;309;45;69;6;-;3;-;611
"52 Goi�s";257;666;138;46;-;1;-;-;1108
"53 Distrito Federal";58;9;9;48;9;-;-;-;133
"Total";10635;17615;1565;3479;189;372;33;4;33892
