"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"Total"
"11 Rond�nia";104;120;7;62;12;3;-;-;-;308
"12 Acre";31;103;3;37;1;-;-;-;-;175
"13 Amazonas";218;261;32;130;1;14;-;-;1;657
"14 Roraima";47;51;1;2;-;-;-;-;-;101
"15 Par�";435;400;10;341;-;3;-;-;-;1189
"16 Amap�";47;81;2;21;-;5;-;-;-;156
"17 Tocantins";87;264;4;70;1;3;1;-;-;430
"21 Maranh�o";548;1197;22;101;-;8;3;-;-;1879
"22 Piau�";187;859;35;15;-;10;3;-;-;1109
"23 Cear�";365;1309;91;126;3;65;-;1;-;1960
"24 Rio Grande do Norte";68;787;1;27;-;9;1;-;-;893
"25 Para�ba";108;1134;6;23;6;27;-;-;-;1304
"26 Pernambuco";460;1296;91;196;5;31;1;-;-;2080
"27 Alagoas";143;570;30;31;-;25;-;1;-;800
"28 Sergipe";140;413;3;18;-;1;-;-;-;575
"29 Bahia";683;1757;15;525;12;34;7;2;-;3035
"31 Minas Gerais";1889;1589;430;182;26;132;9;-;-;4257
"32 Esp�rito Santo";176;372;1;137;3;-;-;-;-;689
"33 Rio de Janeiro";808;595;68;204;31;8;1;-;-;1715
"35 S�o Paulo";1845;1316;97;477;70;18;1;-;-;3824
"41 Paran�";574;732;393;233;4;21;1;1;-;1959
"42 Santa Catarina";561;718;27;98;-;11;1;-;-;1416
"43 Rio Grande do Sul";538;616;18;157;5;5;-;-;-;1339
"50 Mato Grosso do Sul";12;370;24;94;5;3;9;1;-;518
"51 Mato Grosso";176;315;43;68;6;2;3;-;-;613
"52 Goi�s";254;671;134;42;-;1;-;-;-;1102
"53 Distrito Federal";62;9;8;49;9;-;-;-;-;137
"Total";10566;17905;1596;3466;200;439;41;6;1;34220
