"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";114;131;6;64;13;3;1;-;-;2;1;335
"12 Acre";32;97;3;44;1;5;-;-;1;-;-;183
"13 Amazonas";231;281;37;128;1;27;-;-;1;-;-;706
"14 Roraima";46;56;2;2;-;4;2;-;6;-;-;118
"15 Par�";413;468;15;342;-;18;4;-;-;1;-;1261
"16 Amap�";42;98;9;15;-;12;2;-;-;-;-;178
"17 Tocantins";86;297;5;46;1;4;1;-;-;3;-;443
"21 Maranh�o";572;1223;22;101;-;47;2;-;-;6;-;1973
"22 Piau�";166;902;38;13;-;26;11;-;-;1;-;1157
"23 Cear�";426;1294;127;92;3;124;1;1;-;23;1;2092
"24 Rio Grande do Norte";47;828;2;27;-;30;2;-;-;28;-;964
"25 Para�ba";88;1178;6;22;6;76;-;-;-;1;-;1377
"26 Pernambuco";433;1352;86;207;5;71;-;4;-;9;2;2169
"27 Alagoas";150;585;30;19;1;31;2;11;-;4;-;833
"28 Sergipe";139;417;2;25;-;11;-;-;-;3;-;597
"29 Bahia";662;1945;17;548;15;59;21;2;-;18;-;3287
"31 Minas Gerais";1953;1741;491;164;27;187;18;-;-;3;-;4584
"32 Esp�rito Santo";158;404;1;134;7;1;-;-;-;4;-;709
"33 Rio de Janeiro";808;660;71;161;35;41;-;1;-;7;1;1785
"35 S�o Paulo";1850;1456;148;611;73;90;-;-;-;24;2;4254
"41 Paran�";577;784;395;228;4;53;3;1;-;5;1;2051
"42 Santa Catarina";557;767;32;96;1;26;3;-;-;1;-;1483
"43 Rio Grande do Sul";539;670;17;172;7;11;5;1;-;-;-;1422
"50 Mato Grosso do Sul";17;379;31;100;16;12;15;12;-;-;-;582
"51 Mato Grosso";201;331;46;66;7;7;11;-;-;-;-;669
"52 Goi�s";223;719;129;44;1;19;8;-;-;-;-;1143
"53 Distrito Federal";126;5;8;48;9;-;-;-;-;-;-;196
"Total";10656;19068;1776;3519;233;995;112;33;8;143;8;36551
