"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"Total"
"11 Rond�nia";124;150;7;53;12;7;-;-;-;-;-;-;-;353
"12 Acre";42;93;3;48;1;5;1;-;8;6;-;-;-;207
"13 Amazonas";222;307;34;106;1;24;-;-;1;3;-;-;-;698
"14 Roraima";47;57;2;2;1;4;2;-;6;-;-;-;-;121
"15 Par�";412;544;16;347;1;36;5;-;-;2;-;2;1;1366
"16 Amap�";44;98;8;14;1;14;2;-;-;-;-;-;-;181
"17 Tocantins";79;315;12;29;1;12;3;-;-;3;-;-;-;454
"21 Maranh�o";563;1250;21;110;-;79;7;-;-;23;-;-;-;2053
"22 Piau�";153;934;37;17;-;48;22;-;-;10;-;-;-;1221
"23 Cear�";438;1292;128;214;12;139;2;1;-;75;5;-;-;2306
"24 Rio Grande do Norte";48;824;7;27;-;42;3;-;-;41;-;-;-;992
"25 Para�ba";75;1159;14;28;8;90;-;-;-;37;-;-;-;1411
"26 Pernambuco";409;1395;95;220;19;104;2;4;-;27;-;-;-;2275
"27 Alagoas";131;597;30;31;1;34;1;11;-;15;-;-;-;851
"28 Sergipe";147;422;2;18;2;9;-;-;-;16;-;-;-;616
"29 Bahia";674;2105;14;532;19;89;26;3;-;13;1;-;-;3476
"31 Minas Gerais";1905;1884;564;181;28;215;22;-;-;10;2;-;-;4811
"32 Esp�rito Santo";181;393;14;138;6;2;-;-;-;6;-;-;-;740
"33 Rio de Janeiro";859;766;180;262;33;85;-;1;-;19;3;-;-;2208
"35 S�o Paulo";1889;1580;163;662;81;122;-;-;-;39;10;-;-;4546
"41 Paran�";617;830;387;241;4;67;6;1;-;9;6;-;-;2168
"42 Santa Catarina";552;821;42;90;2;36;3;-;-;5;-;-;-;1551
"43 Rio Grande do Sul";531;706;22;173;9;13;5;5;-;4;-;-;-;1468
"50 Mato Grosso do Sul";10;411;30;96;17;14;19;17;-;9;-;-;-;623
"51 Mato Grosso";185;346;53;70;9;8;14;-;-;3;-;-;-;688
"52 Goi�s";237;821;123;43;8;34;10;-;-;-;-;-;-;1276
"53 Distrito Federal";119;13;8;82;9;5;-;-;-;-;-;-;-;236
"Total";10693;20113;2016;3834;285;1337;155;43;15;375;27;2;1;38896
