"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"Total"
"11 Rond�nia";129;146;8;56;12;8;-;-;-;-;-;-;-;359
"12 Acre";46;90;3;47;2;5;2;-;8;5;-;-;-;208
"13 Amazonas";223;299;40;107;2;25;-;-;1;3;-;1;-;701
"14 Roraima";48;56;3;3;1;4;2;-;6;-;-;-;-;123
"15 Par�";424;551;17;346;1;41;5;-;-;1;-;-;1;1387
"16 Amap�";42;92;8;14;1;12;2;-;-;-;-;-;-;171
"17 Tocantins";81;316;12;27;1;14;3;-;-;4;-;-;-;458
"21 Maranh�o";563;1238;21;111;-;81;7;-;-;26;-;-;-;2047
"22 Piau�";134;947;37;13;-;51;22;-;-;12;-;-;-;1216
"23 Cear�";424;1314;134;190;12;141;2;1;-;101;7;-;-;2326
"24 Rio Grande do Norte";48;828;7;28;-;45;3;-;-;41;-;-;-;1000
"25 Para�ba";72;1165;14;31;8;94;-;-;-;28;-;-;-;1412
"26 Pernambuco";406;1388;92;235;19;120;2;4;-;34;1;-;-;2301
"27 Alagoas";133;594;30;33;1;37;1;11;-;13;-;-;-;853
"28 Sergipe";145;415;2;23;2;9;-;-;-;20;-;-;-;616
"29 Bahia";669;2115;15;531;19;93;26;3;-;20;-;-;-;3491
"31 Minas Gerais";1899;1900;565;186;28;231;23;-;-;16;1;-;-;4849
"32 Esp�rito Santo";190;407;2;129;6;4;-;-;-;6;-;-;-;744
"33 Rio de Janeiro";862;792;194;261;31;92;-;1;-;19;5;-;-;2257
"35 S�o Paulo";1908;1548;166;678;82;130;-;-;-;45;8;-;-;4565
"41 Paran�";607;836;389;234;3;67;5;1;-;10;5;-;-;2157
"42 Santa Catarina";552;821;43;92;2;41;-;-;-;4;-;-;-;1555
"43 Rio Grande do Sul";541;703;21;177;9;13;5;5;-;6;-;-;-;1480
"50 Mato Grosso do Sul";7;418;26;93;17;14;20;17;-;7;-;-;-;619
"51 Mato Grosso";182;352;54;71;9;8;14;-;1;2;-;-;-;693
"52 Goi�s";242;828;121;42;8;35;10;-;-;-;-;-;-;1286
"53 Distrito Federal";113;17;8;81;9;6;-;-;-;1;-;-;-;235
"Total";10690;20176;2032;3839;285;1421;154;43;16;424;27;1;1;39109
