"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"Total"
"11 Rond�nia";127;145;9;56;12;8;-;-;-;-;-;1;3;-;361
"12 Acre";45;91;3;48;2;5;2;-;8;4;-;-;-;-;208
"13 Amazonas";226;292;40;106;2;25;-;-;2;6;-;1;-;-;700
"14 Roraima";48;55;3;3;1;4;2;-;6;-;-;-;-;-;122
"15 Par�";419;560;19;344;1;43;6;-;-;1;-;-;-;1;1394
"16 Amap�";42;100;7;14;1;16;2;-;-;2;-;-;-;-;184
"17 Tocantins";83;323;13;26;1;14;3;-;-;1;-;-;-;-;464
"21 Maranh�o";558;1250;20;111;-;82;7;-;-;26;-;-;-;-;2054
"22 Piau�";126;951;39;12;-;53;22;-;-;12;-;-;-;-;1215
"23 Cear�";428;1323;136;194;12;139;2;1;-;106;4;-;-;-;2345
"24 Rio Grande do Norte";46;828;7;28;-;47;3;-;-;43;-;-;-;-;1002
"25 Para�ba";75;1169;14;29;7;96;-;-;-;26;-;-;-;-;1416
"26 Pernambuco";398;1391;105;216;19;125;2;6;-;64;-;-;-;-;2326
"27 Alagoas";139;599;30;38;1;37;1;10;-;12;-;-;-;-;867
"28 Sergipe";139;416;2;24;2;8;-;-;-;25;-;-;-;-;616
"29 Bahia";679;2128;16;527;18;94;27;3;-;15;-;-;-;-;3507
"31 Minas Gerais";1897;1927;580;167;28;235;24;-;-;12;-;-;-;-;4870
"32 Esp�rito Santo";182;422;2;125;6;4;-;-;-;6;-;-;-;-;747
"33 Rio de Janeiro";843;802;226;271;26;91;-;1;-;19;4;-;-;-;2283
"35 S�o Paulo";1918;1580;168;677;83;134;-;-;-;50;8;-;-;-;4618
"41 Paran�";610;840;391;236;2;67;5;1;-;10;6;-;-;-;2168
"42 Santa Catarina";544;835;47;90;2;42;-;-;-;2;-;-;-;-;1562
"43 Rio Grande do Sul";550;708;23;174;9;15;5;5;-;7;-;-;-;-;1496
"50 Mato Grosso do Sul";7;418;28;93;17;14;20;19;-;10;-;-;-;-;626
"51 Mato Grosso";176;364;54;71;9;8;14;-;1;2;-;-;-;-;699
"52 Goi�s";242;828;118;42;8;36;13;-;-;-;-;-;-;-;1287
"53 Distrito Federal";111;17;8;82;9;6;-;-;-;1;-;-;-;-;234
"Total";10658;20362;2108;3804;278;1448;160;46;17;462;22;2;3;1;39371
