"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"Total"
"11 Rond�nia";120;151;9;57;12;8;-;-;-;-;-;1;3;-;-;-;-;-;-;-;361
"12 Acre";45;90;3;48;2;5;2;-;8;4;-;-;-;-;-;-;-;-;-;-;207
"13 Amazonas";233;294;40;106;2;25;-;-;2;6;-;1;-;-;-;-;-;-;-;-;709
"14 Roraima";47;54;3;2;1;4;2;-;6;-;-;-;-;-;-;-;-;-;-;-;119
"15 Par�";414;565;19;345;1;44;6;-;-;1;-;-;-;1;-;-;-;-;-;-;1396
"16 Amap�";41;100;7;13;1;16;2;-;-;2;-;-;-;-;-;-;-;-;-;-;182
"17 Tocantins";84;321;13;25;1;14;3;-;-;1;-;-;-;-;-;-;-;-;-;-;462
"21 Maranh�o";553;1249;20;120;-;82;8;-;-;22;-;-;-;-;-;-;-;-;-;-;2054
"22 Piau�";114;964;39;13;-;53;22;-;-;13;-;-;-;-;-;-;-;-;-;-;1218
"23 Cear�";411;1322;136;212;12;142;2;1;-;113;4;-;-;-;-;-;-;1;-;-;2356
"24 Rio Grande do Norte";48;826;7;27;-;46;3;-;-;41;-;-;-;-;-;-;-;-;-;-;998
"25 Para�ba";76;1171;14;29;7;98;-;-;-;26;-;-;-;-;-;-;-;-;-;-;1421
"26 Pernambuco";392;1400;107;215;19;125;2;6;-;66;-;-;-;-;-;-;-;-;-;1;2333
"27 Alagoas";134;600;29;40;1;37;1;10;-;14;-;-;-;-;-;-;-;-;-;-;866
"28 Sergipe";136;417;2;24;2;9;-;-;-;28;-;-;-;-;-;-;-;-;-;-;618
"29 Bahia";674;2140;16;524;18;96;28;3;-;12;-;-;-;-;-;-;-;-;-;-;3511
"31 Minas Gerais";1892;1950;582;169;28;237;24;-;-;10;-;-;-;-;6;-;-;-;-;-;4898
"32 Esp�rito Santo";180;424;2;126;6;4;-;-;-;7;-;-;-;-;-;-;-;-;-;-;749
"33 Rio de Janeiro";845;816;234;280;28;92;-;1;-;17;4;-;-;-;-;-;-;1;-;-;2318
"35 S�o Paulo";1914;1600;167;717;83;133;-;-;-;51;8;-;-;-;18;1;1;18;1;-;4712
"41 Paran�";626;845;386;238;2;67;6;1;-;11;6;-;-;-;-;-;-;-;-;-;2188
"42 Santa Catarina";548;834;48;90;2;42;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1565
"43 Rio Grande do Sul";550;710;23;176;15;15;5;5;-;10;-;-;-;-;7;-;-;3;-;-;1519
"50 Mato Grosso do Sul";7;416;28;93;17;14;20;19;-;9;-;-;-;-;-;-;-;-;-;-;623
"51 Mato Grosso";173;361;55;71;9;7;13;-;1;2;-;-;-;-;-;-;-;-;-;-;692
"52 Goi�s";243;829;119;42;9;38;11;-;-;-;-;-;-;-;-;-;-;-;-;-;1291
"53 Distrito Federal";110;17;8;84;9;5;-;-;-;1;-;-;-;-;-;-;-;7;-;-;241
"Total";10610;20466;2116;3886;287;1458;160;46;17;468;22;2;3;1;31;1;1;30;1;1;39607
