"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"Total"
"11 Rond�nia";123;151;9;55;12;8;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;362
"12 Acre";44;93;3;47;2;5;2;-;8;4;-;-;-;-;-;-;-;-;-;-;-;208
"13 Amazonas";232;293;40;106;2;26;1;-;2;6;-;1;1;-;-;-;-;-;-;-;-;710
"14 Roraima";49;55;3;2;1;4;2;-;6;-;-;-;-;-;-;-;-;-;-;-;-;122
"15 Par�";422;564;19;347;1;45;5;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1405
"16 Amap�";42;100;6;14;1;17;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;185
"17 Tocantins";81;322;14;26;1;14;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;463
"21 Maranh�o";561;1236;20;116;-;83;8;-;-;27;-;2;-;-;-;-;-;-;-;-;-;2053
"22 Piau�";118;967;41;14;-;54;22;-;-;12;-;-;-;-;-;-;-;-;-;-;-;1228
"23 Cear�";414;1305;133;222;12;143;3;1;-;121;8;-;-;-;-;-;-;-;-;1;1;2364
"24 Rio Grande do Norte";48;830;7;27;-;46;4;-;-;40;-;-;-;-;-;-;-;-;-;-;-;1002
"25 Para�ba";79;1162;14;27;7;97;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;1410
"26 Pernambuco";385;1401;107;216;19;127;5;6;-;66;-;-;-;-;-;-;-;-;-;5;3;2340
"27 Alagoas";132;603;29;40;1;37;3;10;-;13;-;-;-;-;-;-;-;-;-;-;-;868
"28 Sergipe";131;423;2;26;2;9;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;619
"29 Bahia";658;2143;16;532;18;96;28;3;-;15;-;-;-;-;-;-;-;-;-;-;-;3509
"31 Minas Gerais";1874;1955;594;166;28;239;24;-;-;9;1;-;-;-;6;-;-;-;-;14;3;4913
"32 Esp�rito Santo";170;430;1;126;6;4;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;744
"33 Rio de Janeiro";859;808;239;280;29;94;-;1;-;18;3;-;-;-;-;-;-;1;-;14;10;2356
"35 S�o Paulo";1900;1602;164;722;83;132;-;-;-;53;11;-;-;-;19;1;1;19;-;12;3;4722
"41 Paran�";619;855;389;237;2;67;6;1;-;8;3;-;-;-;-;1;-;-;2;3;1;2194
"42 Santa Catarina";548;840;51;87;2;42;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1571
"43 Rio Grande do Sul";542;705;23;175;16;16;5;5;-;14;-;-;-;-;7;-;-;5;1;3;1;1518
"50 Mato Grosso do Sul";9;419;28;96;17;15;20;20;-;10;-;-;-;-;-;-;-;-;-;-;-;634
"51 Mato Grosso";175;367;54;71;9;8;13;-;1;3;-;-;-;-;-;-;-;-;-;-;-;701
"52 Goi�s";243;831;119;42;10;38;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1295
"53 Distrito Federal";110;17;8;81;9;5;-;-;-;1;-;-;-;-;-;-;-;7;-;-;-;238
"Total";10568;20477;2133;3900;290;1471;168;47;17;484;26;4;4;1;32;2;1;32;3;52;22;39734
