"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"Total"
"11 Rond�nia";122;154;9;55;12;8;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;364
"12 Acre";44;93;3;46;2;5;2;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;206
"13 Amazonas";229;298;40;108;2;26;1;-;2;6;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;715
"14 Roraima";51;55;3;2;1;4;2;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;124
"15 Par�";414;581;21;346;1;46;5;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1417
"16 Amap�";42;101;6;14;1;17;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;186
"17 Tocantins";81;316;14;26;1;14;3;-;-;6;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;463
"21 Maranh�o";564;1237;20;115;1;82;7;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2054
"22 Piau�";118;968;41;14;-;54;22;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1230
"23 Cear�";435;1329;134;208;12;145;5;1;-;95;8;-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;2;2378
"24 Rio Grande do Norte";47;832;7;27;-;47;6;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1008
"25 Para�ba";78;1169;15;27;7;98;2;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1419
"26 Pernambuco";404;1392;102;209;19;125;4;6;-;64;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;2334
"27 Alagoas";136;595;29;37;1;37;5;9;-;14;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;866
"28 Sergipe";129;422;2;26;2;9;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;617
"29 Bahia";667;2146;17;528;18;96;33;3;-;12;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;2;3526
