"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"Total"
"11 Rond�nia";121;155;8;55;11;8;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;363
"12 Acre";45;93;3;46;2;6;2;-;8;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;209
"13 Amazonas";234;295;39;114;2;30;1;-;2;5;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;725
"14 Roraima";51;55;3;2;1;4;2;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;123
"15 Par�";423;578;22;355;1;47;5;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1433
"16 Amap�";46;99;2;14;1;17;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;184
"17 Tocantins";80;316;14;28;1;14;3;-;-;4;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;462
"21 Maranh�o";553;1222;20;123;1;81;9;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;4;-;2046
"22 Piau�";122;955;41;12;-;54;25;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1226
"23 Cear�";451;1340;134;193;12;141;9;1;-;82;8;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;2;-;-;2376
"24 Rio Grande do Norte";46;836;7;27;-;47;6;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1011
"25 Para�ba";80;1162;15;26;7;98;3;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1415
"26 Pernambuco";413;1383;99;211;18;125;6;4;-;57;-;-;-;-;-;-;-;-;-;8;4;-;-;-;-;-;-;-;-;-;2328
"27 Alagoas";135;595;28;35;1;39;7;10;-;10;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;1;8;-;873
"28 Sergipe";130;425;2;26;2;9;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;616
"29 Bahia";669;2145;17;522;18;98;36;3;-;8;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;4;2;-;3526
"31 Minas Gerais";1895;1969;597;151;27;238;28;-;-;6;-;-;-;-;6;-;-;-;-;16;5;1;-;-;-;1;-;4;1;-;4945
"32 Esp�rito Santo";167;437;2;124;6;4;1;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;747
"33 Rio de Janeiro";907;820;227;235;29;91;1;1;-;16;3;-;-;-;-;-;-;1;-;15;11;-;-;-;26;-;-;35;4;-;2422
"35 S�o Paulo";1928;1609;155;697;80;130;-;-;-;46;13;-;-;-;20;-;1;20;1;17;4;1;1;-;14;2;1;38;3;5;4786
"41 Paran�";617;855;387;243;2;66;7;1;-;8;4;-;-;-;-;1;-;-;2;6;3;-;-;-;-;-;-;1;-;-;2203
"42 Santa Catarina";555;846;49;87;2;44;-;-;-;1;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;1;-;1588
"43 Rio Grande do Sul";549;712;23;173;17;16;5;5;-;8;-;-;-;-;5;-;-;5;1;3;1;1;-;-;1;1;-;2;-;-;1528
"50 Mato Grosso do Sul";9;413;28;95;18;16;19;20;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;2;4;-;632
"51 Mato Grosso";173;366;54;74;9;8;13;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;701
"52 Goi�s";249;834;115;44;9;38;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1303
"53 Distrito Federal";123;15;6;69;9;5;-;-;-;1;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;235
"Total";10771;20530;2097;3781;286;1474;203;45;16;405;28;2;6;1;31;1;1;33;4;72;34;3;1;1;42;13;1;90;29;5;40006
