"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"31 ESF3SB_M1 - ESF TIPO III COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"Total"
"11 Rond�nia";121;161;7;55;10;8;1;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;368
"12 Acre";48;95;3;44;2;7;2;-;8;2;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;214
"13 Amazonas";227;299;43;121;2;30;1;-;4;4;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;734
"14 Roraima";50;56;3;2;1;4;2;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121
"15 Par�";420;583;22;377;-;55;5;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1464
"16 Amap�";41;107;2;13;1;16;2;-;-;2;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;190
"17 Tocantins";73;317;14;31;1;16;5;-;-;5;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;464
"21 Maranh�o";537;1241;20;145;1;84;12;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;3;2;2;-;-;2084
"22 Piau�";118;958;38;14;-;53;28;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1229
"23 Cear�";415;1318;128;222;11;145;13;2;-;121;5;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;10;2;2;1;1;2400
"24 Rio Grande do Norte";47;823;7;26;1;47;10;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1002
"25 Para�ba";81;1165;15;26;7;98;14;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1436
"26 Pernambuco";425;1410;92;210;18;132;14;5;-;59;-;-;-;-;-;-;-;-;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2381
"27 Alagoas";133;586;29;37;1;39;9;8;-;17;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;3;-;1;13;-;-;-;879
"28 Sergipe";130;425;2;36;2;9;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;619
"29 Bahia";677;2151;15;536;18;105;50;3;-;13;1;-;-;-;-;-;-;-;-;8;4;-;1;-;-;-;-;-;-;-;4;10;-;1;-;3597
"31 Minas Gerais";1898;1987;612;176;28;243;31;-;-;17;2;-;-;-;6;-;-;-;-;16;5;1;1;-;-;-;-;1;2;-;3;1;-;-;-;5030
