"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"Total"
"11 Rond�nia";116;166;7;56;10;8;1;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;371
"12 Acre";57;111;2;21;2;8;2;-;8;1;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;215
"13 Amazonas";226;298;43;117;2;31;1;-;4;4;-;1;2;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;732
"14 Roraima";49;54;4;2;1;4;2;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;119
"15 Par�";417;586;25;382;1;57;5;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1475
"16 Amap�";43;105;2;12;1;15;2;-;-;2;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;188
"17 Tocantins";75;313;16;31;1;15;5;-;-;8;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;466
"21 Maranh�o";535;1228;20;153;1;88;13;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;5;3;-;-;-;-;2091
"22 Piau�";115;941;40;13;-;53;31;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1211
"23 Cear�";429;1298;122;219;12;149;15;2;-;145;6;-;-;-;-;-;-;-;-;3;3;-;-;-;-;1;-;-;-;-;9;3;1;-;1;1;2419
"24 Rio Grande do Norte";49;830;8;25;1;45;14;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1017
"25 Para�ba";80;1159;15;31;7;100;18;-;-;31;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;3;-;-;3;-;-;2;-;1451
"26 Pernambuco";421;1411;89;222;18;135;17;5;-;63;1;-;-;-;-;-;-;-;-;12;5;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2401
"27 Alagoas";135;594;28;31;1;41;12;8;-;13;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;3;-;-;15;-;-;-;-;887
"28 Sergipe";133;431;2;32;2;8;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;622
"29 Bahia";675;2160;15;542;18;108;60;3;-;16;-;-;-;-;-;-;-;-;-;9;5;-;1;-;-;-;-;1;-;-;9;13;1;-;1;-;3637
"31 Minas Gerais";1896;1994;623;180;28;244;44;-;-;19;2;-;-;-;6;-;-;-;-;19;7;2;1;-;-;-;-;2;1;-;3;4;-;-;-;-;5075
"32 Esp�rito Santo";186;416;2;135;8;4;4;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;765
"33 Rio de Janeiro";935;791;234;227;33;103;1;1;-;13;2;-;-;-;-;-;-;1;-;14;9;-;-;-;-;-;-;50;5;10;47;9;3;1;-;1;2490
