"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"Total"
"11 Rond�nia";117;166;7;56;10;9;1;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;373
"12 Acre";56;111;2;20;2;9;2;-;8;1;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;216
"13 Amazonas";225;298;43;116;2;30;1;-;4;4;-;1;2;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;730
"14 Roraima";49;55;4;2;1;4;2;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120
"15 Par�";422;590;22;389;1;57;6;-;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1491
"16 Amap�";44;109;2;11;1;16;2;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;192
"17 Tocantins";77;308;15;34;1;16;5;-;-;12;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;470
"21 Maranh�o";539;1226;20;148;1;89;13;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;6;4;-;-;-;-;2088
"22 Piau�";116;930;41;13;-;53;31;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1201
"23 Cear�";418;1332;124;219;12;150;17;2;-;131;5;-;-;-;-;-;-;-;-;3;3;-;-;-;1;-;-;-;-;7;2;1;-;1;1;2429
"24 Rio Grande do Norte";49;837;7;25;1;46;14;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1022
"25 Para�ba";78;1157;15;30;7;100;20;-;-;30;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;3;-;-;1;-;-;4;-;1450
"26 Pernambuco";422;1419;87;216;17;133;18;5;-;59;3;-;-;-;-;-;-;-;-;12;5;-;-;-;-;-;-;-;-;2;2;-;-;1;-;2401
"27 Alagoas";135;600;27;30;1;41;13;8;-;10;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;3;-;-;14;-;-;-;-;888
"28 Sergipe";134;433;2;32;2;9;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;629
"29 Bahia";677;2174;16;539;18;109;68;3;-;19;-;-;-;-;-;-;-;-;-;14;8;-;2;-;-;-;1;-;-;11;10;-;-;1;-;3670
"31 Minas Gerais";1909;2008;628;173;29;248;54;-;-;18;3;-;-;-;6;-;-;-;-;19;7;3;3;-;-;-;3;1;-;3;4;-;-;1;-;5120
