"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"Total"
"11 Rond�nia";118;169;7;63;10;9;1;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;380
"12 Acre";57;114;2;23;2;11;2;-;8;-;-;2;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;1;-;-;226
"13 Amazonas";206;306;42;116;2;30;2;-;4;5;-;1;2;-;-;-;-;-;-;1;-;-;1;-;-;5;1;-;4;-;-;-;-;-;728
"14 Roraima";49;56;4;2;1;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120
"15 Par�";411;612;23;409;1;56;6;-;-;2;-;1;-;1;-;-;-;1;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1527
"16 Amap�";44;108;2;11;2;16;2;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;192
"17 Tocantins";80;318;15;27;1;16;5;-;-;3;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;4;-;-;-;-;472
"21 Maranh�o";554;1184;18;161;2;89;15;-;-;36;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;10;4;-;-;1;-;2079
"22 Piau�";99;994;42;14;1;56;38;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1256
"23 Cear�";445;1305;127;238;13;154;20;2;-;120;1;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;1;-;7;17;-;-;1;1;2461
"24 Rio Grande do Norte";52;835;9;24;1;41;16;-;-;42;-;-;-;-;-;-;-;-;-;4;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1027
"25 Para�ba";59;1181;15;42;7;98;24;-;-;14;-;-;-;-;-;-;-;-;-;7;3;-;2;-;-;-;3;-;1;-;-;-;4;-;1460
"26 Pernambuco";424;1434;84;252;17;134;21;5;-;32;3;-;-;-;-;-;-;-;-;14;5;-;-;-;-;-;-;-;5;8;-;1;1;-;2440
"27 Alagoas";142;614;29;26;1;41;21;8;-;8;-;-;-;-;-;-;-;-;-;4;3;-;1;-;-;-;3;-;-;5;-;-;6;-;912
"28 Sergipe";125;431;2;34;2;8;1;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;624
"29 Bahia";689;2117;11;552;18;101;78;5;-;27;-;-;-;-;-;-;-;-;-;19;11;-;2;-;-;-;1;-;6;6;-;-;1;-;3644
"31 Minas Gerais";1919;1992;634;179;29;258;75;-;-;13;3;-;-;-;6;-;-;-;-;22;7;3;6;-;-;2;2;-;1;5;-;1;5;-;5162
"32 Esp�rito Santo";191;424;2;137;8;4;4;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;2;-;-;-;-;781
"33 Rio de Janeiro";887;885;220;206;33;107;1;1;-;11;2;-;-;-;-;-;-;1;-;23;13;-;-;-;-;97;9;22;32;11;4;-;1;2;2568
"35 S�o Paulo";1813;1650;180;716;82;157;5;1;-;38;11;-;-;-;18;1;1;19;1;55;28;8;6;2;-;69;20;5;115;19;4;3;3;13;5043
