"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"Total"
"11 Rond�nia";126;172;7;58;10;9;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;387
"12 Acre";54;113;2;26;2;11;3;-;8;-;-;2;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;226
"13 Amazonas";202;316;42;120;2;31;2;-;4;5;-;-;3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5;1;-;8;-;-;-;-;-;-;-;743
"14 Roraima";51;57;4;2;1;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;123
"15 Par�";404;621;22;412;1;58;6;-;-;2;-;1;1;-;1;-;-;-;1;-;-;2;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1535
"16 Amap�";42;105;2;13;2;16;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;190
"17 Tocantins";80;316;16;24;1;15;7;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;469
"21 Maranh�o";564;1219;20;167;2;92;14;-;-;26;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;7;5;-;-;1;-;-;-;2122
"22 Piau�";98;996;42;12;1;56;40;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1253
"23 Cear�";466;1314;132;214;13;147;25;6;-;123;1;-;-;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;1;5;17;-;-;1;1;-;-;2475
"24 Rio Grande do Norte";50;843;7;24;1;43;17;-;-;24;-;-;-;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1018
"25 Para�ba";74;1178;15;29;7;102;24;-;-;16;-;-;-;-;-;-;-;-;-;-;-;7;3;-;2;-;-;-;-;3;-;-;-;-;-;3;-;-;-;1463
"26 Pernambuco";442;1453;87;240;17;136;25;5;-;29;1;-;-;-;-;-;-;-;-;-;-;15;6;-;-;-;-;-;-;-;-;2;3;-;1;1;-;-;-;2463
"27 Alagoas";139;611;29;27;1;39;22;8;-;14;-;-;-;-;-;-;-;-;-;-;-;4;3;-;1;-;-;-;-;2;-;-;2;-;-;6;-;-;-;908
"28 Sergipe";126;431;2;34;2;9;2;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4;-;2;-;-;-;-;-;-;-;630
"29 Bahia";743;2203;15;495;18;109;82;5;-;15;-;-;-;-;-;-;-;-;-;-;-;19;13;-;1;-;-;-;-;-;-;4;9;-;-;1;-;2;-;3734
"31 Minas Gerais";1925;2015;637;157;29;261;77;-;-;12;8;-;-;-;-;6;-;-;-;-;-;26;10;2;3;-;-;-;2;3;-;-;1;-;1;5;-;-;-;5180
