"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"Total"
"11 Rond�nia";117;174;7;57;10;8;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;384
"12 Acre";56;112;2;26;2;12;3;-;9;2;-;3;4;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;234
"13 Amazonas";196;321;42;124;4;35;2;-;6;9;-;1;6;-;2;-;-;-;-;-;-;2;1;-;1;-;-;-;1;1;-;8;2;-;-;-;-;-;-;-;764
"14 Roraima";43;57;8;2;-;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;121
"15 Par�";426;630;22;422;1;58;6;-;-;1;-;1;1;1;1;-;-;-;1;-;-;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1577
"16 Amap�";32;96;2;21;2;16;2;-;-;2;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180
"17 Tocantins";74;329;16;23;4;11;9;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;-;2;1;-;-;-;-;-;30;-;507
"21 Maranh�o";582;1238;21;148;2;98;15;-;-;31;-;-;-;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;5;3;-;-;1;-;-;1;-;2154
"22 Piau�";92;996;48;10;-;67;47;-;-;13;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;1319
"23 Cear�";511;1345;127;199;13;160;35;7;-;102;2;-;-;-;-;-;-;-;-;-;-;8;5;-;1;-;-;-;-;1;-;5;5;1;-;1;1;-;-;-;2529
"24 Rio Grande do Norte";45;905;8;18;1;56;26;-;-;2;-;-;-;-;-;-;-;-;-;-;-;6;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;33;-;1105
"25 Para�ba";83;1187;15;27;6;107;33;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9;5;-;6;-;1;-;-;1;-;-;-;-;-;5;-;-;24;-;1510
"26 Pernambuco";469;1455;69;248;16;146;25;8;-;22;1;-;-;-;-;-;-;-;-;-;-;17;9;-;1;-;-;-;-;-;-;4;3;-;1;1;-;1;-;-;2496
"27 Alagoas";136;622;29;28;1;55;28;11;-;12;-;-;-;-;-;1;-;-;-;-;-;9;5;-;1;-;-;-;-;3;-;1;1;-;-;6;-;-;6;-;955
"28 Sergipe";130;433;2;28;2;16;1;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;8;-;1;1;-;-;-;-;-;-;-;639
"29 Bahia";723;2211;13;506;19;143;82;5;-;28;-;-;-;-;-;-;-;-;6;-;-;25;18;-;-;-;-;-;1;-;-;6;9;-;-;1;-;5;1;1;3803
"31 Minas Gerais";1938;2052;691;127;29;275;89;-;-;14;7;-;-;-;-;6;-;-;-;-;-;30;14;2;7;1;-;-;5;6;-;5;1;-;-;7;1;-;5;-;5312
