"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"11 Rond�nia";143;158;7;54;10;11;3;-;-;4;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;401
"12 Acre";62;114;2;25;2;14;3;-;9;7;-;1;6;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;251
"13 Amazonas";225;343;42;93;6;42;4;-;10;2;-;6;12;2;3;-;-;-;-;-;-;3;2;-;-;-;-;-;-;1;-;5;2;-;-;-;-;-;1;-;-;804
"14 Roraima";60;41;9;2;1;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;122
"15 Par�";450;623;23;409;1;68;9;-;-;1;-;10;15;1;1;-;-;-;1;-;-;4;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1624
"16 Amap�";49;94;2;5;2;18;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180
"17 Tocantins";98;339;17;17;3;14;16;-;-;3;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;63;-;-;575
"21 Maranh�o";643;1254;21;115;2;114;18;-;1;10;-;-;-;-;-;-;-;-;-;-;-;5;6;-;-;-;-;-;-;-;-;4;2;-;-;1;-;-;3;2;-;2201
"22 Piau�";164;1013;54;7;-;77;58;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;87;3;1;1476
"23 Cear�";636;1400;128;127;15;175;38;12;-;77;5;-;-;-;-;-;-;-;-;-;-;13;10;1;1;-;-;-;-;1;-;2;2;-;-;1;1;-;-;1;-;2646
"24 Rio Grande do Norte";53;884;8;19;1;70;34;-;-;5;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;47;-;-;1138
"25 Para�ba";88;1188;17;24;5;110;44;-;-;5;-;-;-;-;-;-;-;-;-;-;-;8;6;-;5;-;1;-;-;-;-;-;-;-;-;5;-;-;66;2;-;1574
"26 Pernambuco";538;1488;67;207;15;183;28;11;-;16;1;-;-;-;-;-;-;-;-;-;-;17;10;-;-;-;-;-;-;-;-;2;1;-;1;1;-;1;1;1;-;2589
"27 Alagoas";138;654;29;24;1;83;27;11;-;3;-;-;-;-;-;1;-;-;-;-;-;16;9;-;-;-;-;-;-;2;-;-;-;-;-;6;-;-;10;-;-;1014
"28 Sergipe";149;443;3;15;2;22;2;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;3;-;-;-;-;-;-;-;-;2;1;-;656
"29 Bahia";890;2232;13;426;19;206;82;8;-;32;-;-;-;-;-;-;-;-;6;-;-;30;23;-;-;-;-;-;-;2;-;2;2;-;-;2;3;2;5;3;-;3988
"31 Minas Gerais";1990;2109;710;102;32;323;128;1;-;13;4;-;-;-;-;6;-;-;-;-;-;41;20;1;4;-;-;-;5;5;-;6;-;1;-;9;1;-;103;1;-;5615
