"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"Total"
"11 Rond�nia";180;168;8;43;8;11;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;432
"12 Acre";69;121;2;19;-;17;4;-;8;-;-;2;6;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2;-;256
"13 Amazonas";239;361;45;86;6;48;5;-;9;1;-;13;23;-;5;-;-;-;-;-;-;7;4;-;-;-;-;1;-;-;1;-;-;-;-;1;-;2;-;-;1;-;-;-;858
"14 Roraima";59;42;9;2;1;4;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;122
"15 Par�";480;650;23;400;1;76;9;-;2;1;-;19;17;1;1;-;-;-;1;-;-;8;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;1701
"16 Amap�";79;87;2;2;2;17;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;197
"17 Tocantins";105;349;17;14;1;15;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;3;3;-;-;-;-;-;-;1;-;-;-;-;-;69;-;-;9;1;1;-;610
"21 Maranh�o";682;1267;20;105;2;118;19;-;1;5;-;-;-;-;-;-;-;-;-;-;-;7;9;-;-;-;-;-;-;-;3;1;-;-;-;1;-;5;3;-;1;-;-;-;2249
"22 Piau�";143;1081;48;5;-;81;56;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;8;-;-;-;-;-;-;-;-;-;-;-;1;-;-;90;6;1;-;-;-;-;1524
"23 Cear�";693;1476;135;97;15;195;36;15;-;57;-;-;-;-;-;-;-;-;-;-;-;17;13;-;1;-;-;-;1;-;1;2;-;-;1;1;-;-;2;-;-;-;-;-;2758
"24 Rio Grande do Norte";66;947;7;11;1;77;34;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;-;-;3;-;-;3;-;-;49;-;-;-;-;-;-;1214
"25 Para�ba";94;1239;19;24;6;143;49;-;-;3;-;-;-;-;-;-;-;-;-;-;-;9;8;-;1;-;1;-;-;-;-;1;-;-;5;-;-;70;3;-;-;-;-;-;1675
"26 Pernambuco";574;1505;62;216;15;193;31;12;-;7;2;-;-;-;-;-;-;-;-;-;-;21;12;-;-;-;-;-;-;-;1;3;-;1;1;-;-;-;1;1;-;-;-;-;2658
"27 Alagoas";141;658;29;25;7;87;28;11;-;2;-;-;-;-;-;1;-;-;-;-;-;17;12;-;1;-;-;-;2;-;-;-;-;-;6;-;-;11;2;-;-;-;-;-;1040
"28 Sergipe";165;457;3;13;2;23;7;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;1;1;-;-;-;-;-;2;1;-;-;-;-;-;683
"29 Bahia";912;2317;15;406;19;233;85;9;-;18;-;-;-;-;-;-;-;-;6;-;-;30;27;2;-;-;-;-;1;-;2;1;-;1;2;3;2;6;6;-;-;-;-;-;4103
"31 Minas Gerais";2133;2155;723;74;32;348;150;2;-;12;2;-;-;-;-;6;-;-;-;-;-;46;23;1;5;1;-;5;2;-;7;-;1;1;9;1;-;152;2;-;-;-;1;-;5894
