"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";182;174;7;43;8;11;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;440
"12 Acre";79;123;2;18;-;17;4;-;8;-;-;2;6;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;266
"13 Amazonas";249;360;44;84;1;50;4;-;11;1;1;12;24;-;5;-;-;-;-;-;-;9;5;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;1;3;2;2;-;-;872
"14 Roraima";64;41;9;1;-;4;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;123
"15 Par�";494;659;23;402;1;80;10;-;2;1;-;18;16;1;1;-;-;-;1;-;-;11;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;5;1;-;1742
"16 Amap�";87;83;2;-;2;18;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;202
"17 Tocantins";103;353;16;13;-;16;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;9;1;2;-;-;608
"21 Maranh�o";700;1275;21;94;-;122;19;-;1;7;-;-;-;-;-;-;-;-;-;-;-;7;9;-;-;-;-;-;-;-;-;3;1;-;-;-;1;-;5;3;-;3;2;1;2;1;-;2277
"22 Piau�";137;1105;48;5;-;84;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;8;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;92;6;1;2;-;-;-;-;-;1548
"23 Cear�";710;1481;137;95;15;200;33;16;-;51;1;-;-;-;-;-;-;-;-;-;-;19;15;-;2;-;-;-;-;1;-;1;2;-;-;1;1;-;-;4;-;-;-;-;-;-;-;2785
"24 Rio Grande do Norte";71;954;7;13;1;77;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;-;-;-;4;-;-;3;-;-;50;-;-;-;-;-;-;-;-;1230
"25 Para�ba";100;1247;20;21;6;144;50;-;-;2;-;-;-;-;-;-;-;-;-;-;-;9;8;-;1;-;1;-;-;-;-;-;1;-;-;5;-;-;70;3;-;-;-;-;-;-;-;1688
"26 Pernambuco";563;1524;62;216;-;194;31;12;-;6;2;-;-;-;-;-;-;-;-;-;-;23;13;-;-;-;-;-;-;-;-;1;4;-;1;1;-;-;-;2;-;-;-;-;2;-;19;2676
"27 Alagoas";142;655;29;26;7;88;29;11;-;4;-;-;-;-;-;1;-;-;-;-;-;17;12;-;1;-;-;-;-;2;-;-;1;-;-;6;-;-;11;2;-;-;-;-;-;-;-;1044
"28 Sergipe";172;459;2;12;2;25;7;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;688
"29 Bahia";932;2363;14;409;19;242;82;9;-;6;-;-;-;-;-;-;-;-;6;-;-;31;30;1;-;-;-;-;-;1;-;2;1;-;2;2;4;-;7;9;-;-;-;-;-;-;-;4172
"31 Minas Gerais";2178;2192;723;66;30;350;155;2;-;5;2;-;-;-;-;6;-;-;-;-;-;46;26;1;6;1;-;-;6;2;-;6;-;1;2;9;1;-;157;3;-;-;1;-;2;-;-;5979
