"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";187;173;7;41;8;11;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;445
"12 Acre";81;123;2;17;-;17;4;-;9;-;-;2;6;1;-;-;3;-;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3;-;1;276
"13 Amazonas";249;357;44;78;-;50;5;-;11;2;1;14;24;-;5;-;-;-;-;-;-;8;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;1;4;2;3;-;-;866
"14 Roraima";62;43;9;1;-;5;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126
"15 Par�";506;661;23;406;1;80;10;-;2;1;-;20;17;1;2;-;-;-;1;-;-;13;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;5;1;-;1768
"16 Amap�";87;83;2;-;2;18;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;202
"17 Tocantins";110;350;17;12;-;15;20;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;10;1;2;-;-;617
"21 Maranh�o";720;1276;22;88;-;131;20;-;1;7;-;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;2;-;6;3;-;3;2;2;2;2;-;2310
"22 Piau�";135;1112;49;7;-;86;56;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;94;6;1;2;-;-;-;-;-;1561
"23 Cear�";726;1453;136;104;7;206;33;16;-;67;2;-;-;-;-;-;-;-;-;-;-;18;15;-;3;-;-;-;-;-;1;-;1;3;-;-;-;1;1;-;-;5;-;-;2;-;6;-;1;2807
"24 Rio Grande do Norte";70;954;7;11;-;76;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;-;-;-;1;6;-;-;-;3;-;-;52;-;-;-;-;-;1;-;-;1231
"25 Para�ba";105;1251;20;16;6;143;50;-;-;2;-;-;-;-;-;-;-;-;-;-;-;9;8;-;2;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;70;3;-;-;-;-;-;-;-;1690
"26 Pernambuco";552;1549;60;214;-;194;32;15;-;11;2;-;-;-;-;-;-;-;-;-;-;24;15;-;-;-;-;-;-;-;-;-;1;4;-;-;3;1;-;-;-;3;-;-;-;-;2;-;19;2701
"27 Alagoas";141;656;29;27;-;89;29;11;-;4;-;-;-;-;-;1;-;-;-;-;-;17;12;-;1;-;-;-;-;-;2;-;-;1;-;-;-;6;-;-;11;2;-;-;1;-;4;2;-;1046
"28 Sergipe";171;461;2;12;2;25;7;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;2;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;690
"29 Bahia";954;2368;14;400;19;248;84;11;-;8;-;-;-;-;-;-;-;-;6;-;-;32;31;1;-;-;-;-;-;-;1;-;3;1;-;-;2;2;4;-;7;10;-;-;-;-;1;-;-;4207
"31 Minas Gerais";2207;2197;722;68;30;353;157;2;-;5;-;-;-;-;-;9;-;-;-;-;-;49;26;-;5;1;-;-;-;8;-;-;6;1;1;-;2;11;1;-;162;3;-;-;1;-;2;-;-;6029
"32 Esp�rito Santo";269;460;2;87;13;10;9;4;-;5;-;-;-;-;-;-;-;-;4;-;1;-;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;871
"33 Rio de Janeiro";1127;924;219;130;34;129;3;1;-;3;3;-;-;-;-;37;3;-;8;-;4;54;31;2;1;-;-;-;-;76;19;17;20;2;1;-;1;3;8;-;-;3;-;-;-;-;-;-;-;2863
"35 S�o Paulo";2567;1846;245;446;70;217;30;2;-;21;13;-;-;-;-;48;10;2;91;5;-;138;64;6;13;-;2;2;-;59;15;6;105;22;7;-;8;7;24;3;56;6;-;-;1;-;7;-;2;6166
"41 Paran�";858;970;398;180;3;109;56;-;-;5;-;-;-;-;-;2;2;-;33;8;-;21;10;1;2;3;-;-;-;9;3;1;9;1;1;-;2;3;2;1;52;-;-;-;-;-;-;-;1;2746
"42 Santa Catarina";651;947;51;68;2;88;48;-;-;6;-;-;-;-;-;-;-;-;3;1;-;9;3;1;1;-;-;-;-;-;-;-;3;5;-;-;2;1;-;1;91;2;-;-;3;1;-;1;2;1991
"43 Rio Grande do Sul";833;875;50;152;6;40;19;5;-;5;-;-;-;-;-;5;2;-;7;1;-;19;6;3;5;-;-;-;-;8;12;-;8;3;-;-;1;2;1;3;53;2;-;-;4;1;18;1;3;2153
"50 Mato Grosso do Sul";24;499;21;93;8;32;19;19;-;4;-;-;-;-;-;1;-;-;-;-;-;3;3;-;-;-;-;-;-;-;2;-;-;2;-;-;-;2;1;-;10;2;-;-;22;4;5;3;-;779
"51 Mato Grosso";175;401;60;71;8;12;18;-;5;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;16;-;-;-;-;-;-;-;-;771
"52 Goi�s";324;891;104;27;9;69;33;1;-;-;-;-;-;-;-;-;-;-;-;-;-;22;20;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;71;4;-;-;2;-;-;-;-;1582
"53 Distrito Federal";183;79;-;18;4;12;-;-;-;3;-;-;-;-;-;3;2;-;-;-;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;4;-;5;332
"Total";14074;22959;2315;2774;232;2465;786;87;29;165;21;37;47;2;7;106;22;2;153;17;5;484;299;17;38;4;2;2;1;163;59;24;161;53;10;1;25;52;50;8;830;56;1;6;55;11;65;10;34;48826
