"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";184;174;7;40;5;11;3;-;1;2;-;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;5;-;2;-;-;444
"12 Acre";83;120;2;18;-;18;4;-;9;-;-;2;6;1;-;-;3;-;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3;-;1;277
"13 Amazonas";250;350;44;76;-;50;4;-;11;2;1;16;26;-;5;-;-;-;-;-;-;9;5;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;2;-;-;1;4;3;3;-;-;865
"14 Roraima";64;43;9;1;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;127
"15 Par�";504;658;23;408;1;82;10;-;2;-;-;20;17;1;2;-;-;-;1;-;-;13;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;5;1;1;1767
"16 Amap�";84;78;2;-;2;17;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;193
"17 Tocantins";107;351;17;12;-;15;20;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;9;1;2;-;-;615
"21 Maranh�o";727;1278;22;87;-;133;21;-;1;8;-;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;2;1;-;-;1;-;2;-;7;3;-;3;3;2;2;2;-;2325
"22 Piau�";131;1108;49;8;-;85;56;-;-;3;-;-;-;-;-;-;-;-;-;-;-;4;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;95;7;1;2;-;-;-;-;-;1560
"23 Cear�";734;1420;135;129;4;208;33;15;-;80;-;-;-;-;-;-;-;-;-;-;-;17;15;-;3;-;-;-;-;1;-;2;2;-;-;-;1;1;-;-;5;-;-;3;1;7;-;1;2817
"24 Rio Grande do Norte";78;945;6;9;-;75;35;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;1;-;1;12;-;-;-;3;-;-;53;-;-;-;-;-;1;2;1;1238
"25 Para�ba";104;1256;20;16;5;143;50;-;-;2;-;-;-;-;-;-;-;-;-;-;-;8;10;-;1;-;-;-;-;-;-;-;-;-;-;-;5;-;-;70;5;-;-;-;-;-;-;-;1695
"26 Pernambuco";564;1540;60;211;-;196;32;11;-;19;-;-;-;-;-;-;-;-;-;-;-;24;15;-;-;-;-;-;-;-;-;3;6;-;-;3;1;-;-;-;3;-;-;-;-;2;-;17;2707
"27 Alagoas";136;655;29;30;-;86;28;11;-;3;-;-;-;-;-;1;-;-;-;-;-;17;13;-;1;-;-;-;-;2;-;-;1;-;-;-;6;-;-;11;3;-;-;1;-;4;2;-;1040
"28 Sergipe";173;461;2;12;2;25;7;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;2;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;692
"29 Bahia";947;2341;14;404;17;253;86;11;-;9;-;-;-;-;-;-;-;-;6;-;-;33;35;1;-;-;-;-;-;2;-;3;-;-;-;3;2;4;-;8;14;-;-;-;-;1;-;-;4194
"31 Minas Gerais";2205;2198;733;67;30;365;161;2;-;5;-;-;-;-;-;9;-;-;-;-;-;48;26;-;3;1;-;-;8;1;-;6;-;1;-;3;10;1;-;177;3;-;-;1;1;2;-;-;6067
