"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";195;167;6;40;5;11;3;-;1;3;-;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;5;-;2;-;-;448
"12 Acre";83;119;2;19;-;17;4;-;9;-;-;2;6;1;-;-;3;-;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;276
"13 Amazonas";249;355;46;79;-;50;5;-;16;1;-;15;27;-;5;-;-;-;-;-;-;9;5;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;2;-;-;1;5;3;3;-;-;879
"14 Roraima";60;42;9;1;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;123
"15 Par�";514;663;23;401;1;82;10;-;2;-;-;20;16;1;2;-;-;-;1;-;-;13;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;-;5;1;1;1774
"16 Amap�";85;78;2;-;2;17;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;194
"17 Tocantins";109;349;16;13;-;15;19;-;-;4;1;-;-;-;-;-;-;-;-;-;-;2;2;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;70;-;-;-;9;1;2;-;-;615
"21 Maranh�o";727;1281;22;85;-;134;22;-;1;9;-;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;1;1;-;-;1;-;2;-;-;7;3;-;3;3;2;2;2;-;2328
"22 Piau�";128;1103;49;7;-;81;55;-;-;7;-;-;-;-;-;-;-;-;-;-;-;4;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;97;7;1;2;-;-;-;-;-;1552
"23 Cear�";748;1415;132;137;4;209;34;15;-;67;1;-;-;-;-;-;-;-;-;-;-;18;15;-;2;-;-;-;-;1;-;1;3;-;-;-;1;1;-;-;1;5;-;-;3;1;7;-;1;2822
"24 Rio Grande do Norte";73;923;8;9;-;75;35;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;1;-;1;11;-;-;-;3;-;-;-;53;-;-;-;-;-;1;2;1;1212
"25 Para�ba";101;1263;20;16;5;143;51;-;-;2;-;-;-;-;-;-;-;-;-;-;-;9;10;-;1;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;70;5;-;-;-;-;-;-;-;1701
"26 Pernambuco";554;1542;59;213;-;199;32;11;-;19;-;-;-;-;-;-;-;-;-;-;-;24;15;-;-;-;-;-;-;-;-;3;6;-;-;3;1;-;-;-;-;3;-;-;-;-;2;-;15;2701
"27 Alagoas";142;658;28;27;-;86;29;11;-;5;-;-;-;-;-;1;-;-;-;-;-;17;13;-;-;-;-;-;-;2;-;-;1;-;-;-;6;-;-;-;11;3;-;-;1;-;4;2;-;1047
"28 Sergipe";174;458;2;12;2;25;8;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;2;-;1;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;693
"29 Bahia";942;2357;14;411;17;254;89;11;-;11;-;-;-;-;-;-;-;-;6;-;-;34;37;1;-;-;-;-;-;2;-;3;-;-;-;3;2;4;-;-;8;14;-;-;-;-;1;-;-;4221
"31 Minas Gerais";2216;2201;733;66;30;370;166;2;-;3;-;-;-;-;-;9;-;-;-;-;-;46;25;-;3;1;-;-;7;1;-;7;1;-;-;3;10;1;-;-;186;4;-;-;1;1;2;-;-;6095
