"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";193;167;6;43;5;11;3;-;6;1;-;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;7;-;2;-;-;455
"12 Acre";79;125;2;18;-;17;4;-;8;-;-;3;6;1;-;-;4;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;277
"13 Amazonas";252;352;47;78;-;50;5;-;18;2;1;15;27;-;5;4;3;-;24;4;-;9;5;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;2;-;-;1;5;3;3;-;-;918
"14 Roraima";57;41;9;1;1;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;120
"15 Par�";505;676;23;408;1;80;10;-;2;-;-;20;16;1;2;-;-;-;1;-;-;13;14;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;5;1;1;1784
"16 Amap�";83;79;2;-;2;16;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;193
"17 Tocantins";109;348;16;13;-;14;20;-;-;3;1;-;-;-;-;-;-;-;-;-;-;2;2;2;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;72;-;-;-;9;1;2;-;-;619
"21 Maranh�o";731;1280;22;85;-;135;24;-;1;11;-;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;2;-;-;7;3;1;3;4;2;2;2;-;2338
"22 Piau�";123;1110;49;11;-;83;57;-;-;10;-;-;-;-;-;-;-;-;-;-;-;3;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;96;7;1;2;-;-;-;-;-;1562
"23 Cear�";746;1446;133;130;4;213;35;16;-;70;2;-;-;-;-;-;-;-;-;-;-;17;16;-;2;-;-;-;-;-;1;-;1;2;-;-;-;1;1;-;-;1;6;-;-;3;-;6;1;2;2855
"24 Rio Grande do Norte";73;946;8;9;-;77;35;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;-;2;-;1;13;-;-;-;3;-;-;-;56;-;-;-;-;-;1;2;1;1243
"25 Para�ba";102;1260;20;18;5;142;53;-;-;6;-;-;-;-;-;-;-;-;-;-;-;9;10;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;73;5;-;-;-;-;-;-;-;1709
"26 Pernambuco";563;1544;57;204;-;200;33;15;-;24;1;-;-;-;-;-;-;-;-;-;-;24;15;-;-;-;-;-;-;-;-;-;3;6;-;-;3;2;-;-;-;-;3;-;-;-;-;2;-;13;2712
"27 Alagoas";145;655;29;29;-;87;28;11;-;5;-;-;-;-;-;1;-;-;-;-;-;17;13;-;-;-;-;-;-;-;2;-;-;1;-;-;-;6;-;-;-;11;3;-;-;1;-;4;2;-;1050
"28 Sergipe";173;455;2;14;2;25;8;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;694
"29 Bahia";956;2367;14;393;17;252;90;11;-;14;-;-;-;-;-;-;-;-;6;-;-;36;39;1;-;-;-;-;-;-;-;-;4;-;-;-;3;2;4;-;-;8;14;-;-;-;-;1;-;-;4232
"31 Minas Gerais";2226;2202;734;71;30;363;174;3;-;3;1;-;-;-;-;10;-;-;-;-;-;47;26;-;5;-;-;-;-;7;-;-;8;2;-;-;4;10;1;-;-;193;4;-;-;2;1;2;-;-;6129
"32 Esp�rito Santo";260;465;-;85;13;13;12;4;-;7;-;-;-;-;-;-;-;-;4;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;870
"33 Rio de Janeiro";1114;928;214;129;33;137;6;1;-;7;3;-;-;-;-;36;3;-;7;-;4;54;32;-;2;-;-;-;-;85;18;12;27;5;3;-;2;5;9;-;-;-;4;-;-;-;-;-;-;-;2880
"35 S�o Paulo";2638;1869;235;424;59;228;32;3;-;20;14;-;-;-;-;68;18;1;90;5;-;145;65;9;12;-;2;2;-;54;18;9;100;20;8;-;7;8;24;4;-;64;6;-;-;3;-;12;1;3;6280
"41 Paran�";901;955;386;178;3;117;57;-;-;5;-;-;-;-;-;5;2;-;35;7;-;20;9;3;4;3;-;-;-;12;3;3;12;6;2;-;-;6;1;1;-;60;-;-;-;2;1;-;-;1;2800
"42 Santa Catarina";658;963;60;66;1;94;51;-;-;2;-;-;-;-;-;-;-;-;3;1;-;9;4;1;-;-;-;-;-;-;-;-;3;3;-;-;2;1;-;-;-;102;3;-;-;5;1;1;2;3;2039
"43 Rio Grande do Sul";869;881;52;159;2;40;22;5;-;3;2;-;-;-;-;4;2;-;7;1;-;26;8;2;3;-;-;-;-;7;11;-;14;5;-;-;1;3;1;25;5;62;2;-;-;6;2;16;-;3;2251
"50 Mato Grosso do Sul";23;503;20;90;6;32;20;17;-;1;-;-;-;-;-;-;-;-;1;-;-;4;4;-;-;-;-;-;-;-;2;-;-;4;-;-;-;2;1;-;-;10;2;-;-;22;5;5;4;-;778
"51 Mato Grosso";178;407;61;72;7;14;18;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;23;1;-;-;-;-;-;-;-;792
"52 Goi�s";332;899;105;24;7;70;36;1;-;-;-;-;-;-;-;-;-;-;-;-;-;23;23;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;83;6;-;-;4;-;-;-;-;1618
"53 Distrito Federal";173;83;-;22;4;11;-;-;-;5;-;-;-;-;-;2;3;-;1;-;-;12;7;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;4;-;5;335
"Total";14262;23006;2306;2774;202;2526;839;87;40;207;25;39;49;2;7;130;35;1;179;19;5;501;324;21;34;4;2;2;1;169;61;24;175;69;13;1;29;59;50;30;5;931;72;2;6;73;16;71;15;33;49533
