"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";205;162;6;42;5;9;3;-;6;2;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;8;-;4;-;-;463
"12 Acre";76;129;1;17;-;18;3;-;9;-;-;5;6;1;-;-;4;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;279
"13 Amazonas";259;356;42;78;-;49;6;-;28;2;2;16;28;-;5;4;3;25;3;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;2;-;-;1;5;3;3;-;-;939
"14 Roraima";60;43;9;1;1;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;125
"15 Par�";544;682;23;392;1;85;10;-;2;-;-;22;15;2;2;-;-;1;-;-;12;15;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;4;-;-;-;-;3;1;1;1821
"16 Amap�";85;81;2;-;2;17;2;-;-;-;-;1;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;198
"17 Tocantins";109;341;17;16;-;15;20;-;4;5;-;-;-;-;-;-;-;-;-;-;2;2;1;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;73;-;-;-;9;1;2;-;-;623
"21 Maranh�o";729;1274;23;86;-;140;25;-;1;14;-;-;-;-;-;-;-;-;-;-;10;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;2;-;-;7;3;1;3;5;2;2;3;-;2344
"22 Piau�";117;1118;48;11;-;84;57;-;-;14;-;-;-;-;-;-;-;-;-;-;3;9;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;99;6;1;1;-;-;-;1;-;1572
"23 Cear�";771;1433;139;108;4;218;36;17;-;77;3;-;-;-;-;-;-;-;-;-;18;16;-;2;-;-;-;-;-;1;-;-;3;-;-;-;1;1;-;-;2;6;-;-;3;-;6;1;2;2868
"24 Rio Grande do Norte";72;946;7;8;-;74;34;-;-;3;-;-;-;-;-;-;-;-;-;-;9;7;-;-;-;-;-;-;-;2;-;1;14;-;-;-;3;-;-;-;56;1;-;-;-;-;1;2;1;1241
"25 Para�ba";102;1205;20;20;7;121;51;-;-;14;-;-;-;-;-;-;-;-;-;-;8;10;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;74;5;-;-;2;-;-;-;-;1645
"26 Pernambuco";562;1541;57;214;-;202;33;12;-;37;1;-;-;-;-;-;-;-;-;-;25;15;-;-;-;-;-;-;-;-;-;1;6;-;-;3;2;-;-;-;-;3;-;-;-;-;2;-;17;2733
"27 Alagoas";148;647;29;30;-;88;27;11;-;8;-;-;-;-;-;1;-;-;-;-;17;13;-;-;-;-;-;-;-;3;-;-;1;-;-;-;6;-;-;-;12;3;-;-;1;-;4;2;-;1051
"28 Sergipe";167;452;2;17;2;26;10;-;-;13;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;-;700
"29 Bahia";952;2356;14;396;18;256;90;12;-;30;-;-;-;-;-;1;-;6;-;-;36;39;1;-;-;-;-;-;-;-;-;4;1;-;-;3;2;4;-;-;8;14;-;-;-;-;1;-;-;4244
"31 Minas Gerais";2208;2211;732;74;30;373;177;3;-;3;1;-;-;-;-;10;-;-;-;-;48;27;-;7;-;-;-;-;5;4;-;9;4;1;-;4;9;1;-;-;199;5;-;-;2;1;2;1;-;6151
