"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";212;164;6;36;5;9;3;-;6;1;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;1;-;-;-;8;-;4;-;-;467
"12 Acre";73;126;1;18;-;18;3;-;8;-;-;5;6;1;-;-;4;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;270
"13 Amazonas";251;364;44;78;-;47;5;-;29;-;-;17;29;-;5;5;2;26;2;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;1;5;2;3;-;1;936
"14 Roraima";61;44;11;1;1;5;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;130
"15 Par�";556;697;21;385;1;89;10;-;4;1;-;25;16;2;2;-;-;1;-;-;11;14;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;-;-;-;-;3;1;-;1846
"16 Amap�";84;82;2;-;2;17;2;-;-;-;-;1;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;198
"17 Tocantins";115;345;17;13;-;15;21;-;4;4;-;-;-;-;-;-;-;-;-;-;2;2;1;3;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;73;-;-;-;12;1;2;-;-;632
"21 Maranh�o";743;1284;23;88;-;142;27;-;1;12;-;2;-;-;-;-;-;-;-;-;10;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;7;3;1;4;6;3;2;4;-;2378
"22 Piau�";121;1131;48;8;-;85;58;-;-;7;-;-;-;-;-;-;-;-;-;-;3;10;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;99;8;1;2;-;-;-;1;-;1585
"23 Cear�";771;1477;143;97;3;218;36;17;-;60;2;-;-;-;-;-;-;-;-;-;18;15;-;3;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;2;5;-;-;3;-;6;1;2;2883
"24 Rio Grande do Norte";76;959;7;8;-;78;35;-;-;3;-;-;-;-;-;-;-;-;-;-;9;7;-;-;-;-;-;-;-;2;-;1;14;-;-;4;-;-;-;57;1;-;-;-;-;2;2;1;1266
"25 Para�ba";102;1252;20;16;7;143;55;-;-;14;-;-;-;-;-;-;-;-;-;-;8;11;-;1;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;75;6;-;-;2;-;-;-;-;1717
"26 Pernambuco";582;1524;58;218;-;201;33;15;-;34;1;-;-;-;-;-;-;-;-;-;25;15;-;-;-;-;-;-;-;-;-;1;7;-;3;2;-;-;-;-;3;-;-;-;2;2;-;17;2743
"27 Alagoas";147;651;29;30;-;90;27;11;-;7;-;-;-;-;-;1;-;-;-;-;17;14;-;-;-;-;-;-;1;4;-;-;-;-;-;6;-;-;-;13;3;-;-;1;-;4;2;-;1058
"28 Sergipe";168;457;2;16;2;26;10;-;-;10;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;703
"29 Bahia";959;2372;12;393;18;258;93;12;-;25;-;-;-;-;-;4;-;6;-;-;38;41;-;-;-;-;-;-;-;-;-;4;2;-;3;2;3;-;-;9;14;-;-;-;1;1;-;-;4270
"31 Minas Gerais";2227;2228;740;70;30;375;178;3;-;6;-;-;-;-;-;10;-;-;-;-;49;27;-;6;1;-;-;-;5;6;1;12;5;3;4;10;1;-;-;203;5;-;-;3;1;3;1;-;6213
