"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";212;161;5;38;5;11;3;-;6;1;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;1;-;-;-;8;-;2;1;-;467
"12 Acre";77;131;1;18;-;17;4;-;7;-;-;5;6;1;-;-;4;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;281
"13 Amazonas";260;361;51;77;-;50;5;-;33;-;-;16;30;3;2;7;1;-;26;2;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;1;4;2;3;1;1;956
"14 Roraima";67;42;12;1;1;5;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;136
"15 Par�";565;697;24;376;1;93;11;-;8;2;-;26;17;2;2;-;-;-;1;-;-;14;16;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;-;1;-;-;5;1;-;1869
"16 Amap�";83;88;2;1;2;18;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;206
"17 Tocantins";114;349;15;12;-;16;21;-;4;3;1;-;-;-;-;-;-;-;-;-;-;2;2;1;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;74;-;-;-;17;-;2;-;-;639
"21 Maranh�o";747;1290;23;87;-;141;26;-;1;14;-;-;-;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;8;3;1;4;7;3;2;5;-;2389
"22 Piau�";124;1142;48;7;-;83;57;-;-;4;-;-;-;-;-;-;-;-;-;-;-;3;10;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;99;8;1;2;-;-;-;1;-;1592
"23 Cear�";780;1480;153;102;2;220;36;17;-;54;-;-;-;-;-;-;-;-;-;-;-;19;17;-;3;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;2;5;-;-;3;-;5;1;2;2904
"24 Rio Grande do Norte";76;970;8;6;-;80;35;-;-;5;-;-;-;-;-;-;-;-;-;-;-;9;7;-;-;-;-;-;-;-;2;-;2;9;-;-;4;-;-;-;56;1;-;-;-;2;2;2;1;1277
"25 Para�ba";105;1250;20;12;7;135;55;-;-;13;-;-;-;-;-;-;-;-;-;-;-;9;11;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;75;6;-;-;3;-;-;-;-;1706
"26 Pernambuco";580;1572;55;206;-;202;31;17;-;21;1;-;-;-;-;-;-;-;-;-;-;28;17;-;-;-;-;-;-;-;-;-;-;5;-;3;2;-;-;-;-;4;-;-;-;2;1;-;16;2763
"27 Alagoas";155;644;27;30;-;88;28;11;-;6;-;-;-;-;-;-;-;-;-;-;-;17;14;-;1;-;-;-;-;-;4;-;-;-;-;-;6;-;-;-;13;3;-;-;1;-;4;2;-;1054
"28 Sergipe";165;460;2;18;2;26;10;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;703
"29 Bahia";979;2407;12;382;19;261;98;15;-;14;-;-;-;-;-;4;-;-;7;-;-;38;40;-;-;-;-;-;-;-;2;-;4;1;-;2;2;4;-;-;9;15;-;-;-;1;1;-;-;4317
"31 Minas Gerais";2242;2256;731;67;30;380;176;3;-;5;-;-;-;-;-;4;-;-;11;-;-;50;27;-;8;2;-;-;-;3;6;1;13;6;2;4;10;1;-;-;207;5;-;-;6;3;4;4;2;6269
