"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";220;160;4;35;5;12;2;-;5;-;1;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;1;-;-;-;5;-;2;1;-;466
"12 Acre";82;124;1;20;-;17;4;-;10;3;-;5;6;1;-;-;6;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;289
"13 Amazonas";266;365;41;81;-;49;5;-;46;1;-;14;29;-;6;9;-;-;25;2;-;10;5;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;2;-;-;1;4;2;3;1;1;972
"14 Roraima";70;41;11;1;1;5;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;138
"15 Par�";571;721;26;385;1;95;12;-;8;3;-;23;14;2;3;2;-;-;1;-;-;17;19;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;5;-;1;-;-;3;1;2;1918
"16 Amap�";78;90;5;1;2;18;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;206
"17 Tocantins";109;352;16;13;-;23;21;-;3;4;-;-;-;-;-;-;-;-;-;-;-;4;3;4;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;20;-;1;-;-;661
"21 Maranh�o";740;1276;23;101;-;148;28;-;3;23;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3;-;-;8;3;1;4;8;3;1;5;-;2405
"22 Piau�";117;1151;47;8;-;86;58;-;-;4;-;-;-;-;-;-;-;-;-;-;-;4;11;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;101;8;1;2;-;-;-;1;-;1601
"23 Cear�";697;1576;145;130;2;222;37;20;-;67;1;-;-;-;-;-;-;-;-;-;-;20;18;3;8;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;2;8;-;-;3;2;5;-;2;2971
"24 Rio Grande do Norte";76;973;10;4;-;77;38;-;-;3;-;-;-;-;-;-;-;-;-;-;-;7;8;-;-;-;-;-;-;1;-;3;9;-;-;-;4;-;1;-;56;2;-;-;2;1;2;2;1;1280
"25 Para�ba";103;1276;17;12;4;144;55;3;-;6;-;-;-;-;-;-;-;-;-;-;-;9;11;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;73;6;-;-;3;-;-;-;-;1727
"26 Pernambuco";592;1607;53;192;-;212;32;21;-;17;2;-;-;-;-;-;-;-;-;-;-;27;16;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;4;-;1;-;1;2;-;17;2801
"27 Alagoas";158;662;29;28;-;90;29;11;-;1;-;-;-;-;-;-;-;-;-;-;-;17;14;-;1;-;-;-;-;2;-;-;-;-;-;-;6;-;-;-;13;3;-;-;-;-;1;1;-;1066
"28 Sergipe";161;444;2;27;2;25;10;1;-;11;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;1;-;7;2;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;704
"29 Bahia";1060;2408;15;383;17;266;102;14;-;15;-;-;-;-;-;4;-;-;7;-;-;40;39;-;-;-;-;-;-;1;-;5;-;-;-;2;2;5;-;-;9;13;-;-;-;1;1;-;1;4410
"31 Minas Gerais";2245;2299;720;67;29;379;174;5;-;7;-;-;-;-;-;4;-;-;11;-;-;51;27;-;11;2;-;-;3;2;-;9;4;2;-;4;10;2;-;-;217;5;1;-;12;4;3;4;1;6314
