"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";226;156;5;29;3;12;2;-;9;2;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;5;-;2;1;-;464
"12 Acre";80;127;1;25;-;17;4;-;9;1;-;5;6;1;-;-;5;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;289
"13 Amazonas";274;350;41;79;-;46;5;-;47;3;-;16;29;-;6;9;-;-;26;1;11;5;-;-;-;-;-;-;-;-;-;2;-;2;1;-;2;-;-;2;-;-;1;4;2;3;-;1;968
"14 Roraima";71;37;12;1;1;5;6;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;137
"15 Par�";602;731;25;379;1;92;11;-;14;1;-;23;15;1;3;2;-;-;1;-;16;18;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;4;-;1;-;-;5;1;2;1951
"16 Amap�";73;85;5;-;1;15;2;-;-;-;-;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;1;191
"17 Tocantins";109;357;16;10;-;26;21;-;5;4;-;-;-;-;-;-;-;-;-;-;4;3;2;15;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;74;-;-;-;21;-;2;-;-;670
"21 Maranh�o";742;1266;23;93;-;158;29;-;3;23;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;3;-;-;-;-;-;3;-;-;8;3;1;4;8;2;2;4;-;2400
"22 Piau�";110;1143;47;9;-;81;58;-;-;6;-;-;-;-;-;-;-;-;-;-;4;11;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;102;8;1;2;-;-;1;-;-;1585
"23 Cear�";719;1421;135;190;3;217;36;20;-;119;8;-;-;-;-;-;-;-;-;-;20;19;3;12;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;2;7;-;-;3;2;5;-;2;2946
"24 Rio Grande do Norte";92;954;7;7;-;77;39;-;-;6;-;-;-;-;-;-;-;-;-;-;9;8;-;-;-;-;-;-;2;-;2;3;-;-;-;4;-;2;-;56;2;-;-;2;1;2;1;2;1278
"25 Para�ba";110;1273;19;12;7;142;55;3;-;10;-;-;-;-;-;-;-;-;-;-;9;11;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;74;6;-;-;3;-;-;-;-;1739
"26 Pernambuco";597;1576;54;196;-;212;32;19;-;22;1;-;-;-;-;-;-;-;-;-;27;16;-;-;-;-;-;-;-;-;-;1;-;-;3;2;-;-;-;2;4;-;1;-;-;2;-;10;2777
"27 Alagoas";153;665;29;31;-;93;29;11;-;1;-;-;-;-;-;-;-;-;-;-;17;14;-;1;-;-;-;-;1;-;-;-;-;-;-;6;-;-;-;12;3;-;-;-;-;2;2;-;1070
"28 Sergipe";162;440;2;30;2;26;10;-;-;8;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;-;7;1;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;699
"29 Bahia";1133;2291;14;382;18;266;97;15;-;25;-;-;-;-;-;4;-;-;7;-;39;40;-;-;-;-;-;1;-;-;7;1;-;-;2;2;5;-;-;8;13;-;-;-;1;1;-;1;4373
"31 Minas Gerais";2260;2290;711;63;29;380;176;6;-;8;-;-;-;-;-;4;-;-;11;-;52;29;-;12;1;-;-;4;5;2;10;1;1;-;4;10;2;-;-;217;6;1;-;14;4;3;4;1;6321
