"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";233;145;4;27;2;11;3;-;8;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;6;-;2;1;-;454
"12 Acre";86;131;1;18;-;19;4;-;8;1;-;5;6;1;-;-;3;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;293
"13 Amazonas";270;370;42;62;-;52;7;-;38;3;1;9;34;-;7;9;-;-;26;1;11;5;-;-;-;-;1;-;-;-;-;-;2;1;-;1;-;-;2;-;-;1;4;2;3;-;1;965
"14 Roraima";68;46;11;-;-;7;5;-;26;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;166
"15 Par�";623;765;25;379;1;107;13;-;19;1;-;22;16;1;4;2;-;-;1;-;19;20;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;-;2;4;-;1;-;-;5;1;2;2038
"16 Amap�";44;90;4;-;1;13;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;164
"17 Tocantins";109;370;16;7;-;29;24;-;5;8;-;-;-;-;-;-;-;-;-;-;4;3;-;12;-;-;-;-;-;-;-;-;-;-;-;1;-;-;82;-;-;-;19;1;2;-;-;692
"21 Maranh�o";716;1348;23;91;-;186;31;-;7;8;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;1;2;-;1;-;-;-;-;-;2;-;-;8;3;1;4;6;3;2;5;1;2474
"22 Piau�";95;1176;46;11;-;90;58;-;-;10;-;-;-;-;-;2;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;106;9;1;2;1;-;1;3;-;1628
"23 Cear�";707;1615;137;130;2;231;46;19;-;61;3;-;-;-;-;-;-;-;-;-;20;22;3;13;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;9;-;-;2;3;1;-;6;3034
"24 Rio Grande do Norte";97;959;7;6;-;81;40;-;-;5;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;1;3;-;1;6;-;-;-;5;-;-;-;58;2;-;-;3;1;1;2;2;1300
"25 Para�ba";115;1283;19;10;7;148;55;3;-;9;-;-;-;-;-;-;-;-;-;-;12;17;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;76;8;-;-;3;-;-;-;-;1770
"26 Pernambuco";577;1674;57;177;-;231;33;21;-;11;1;-;-;-;-;-;-;-;-;-;30;19;-;-;-;-;-;-;-;1;-;-;-;3;2;-;-;-;3;4;-;1;-;1;2;-;19;2867
"27 Alagoas";185;662;24;23;-;99;28;11;-;1;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;12;3;-;-;-;-;8;1;-;1094
"28 Sergipe";171;443;1;41;2;36;12;1;-;7;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;6;1;-;-;-;-;1;-;-;7;1;-;-;-;-;-;-;-;735
"29 Bahia";1046;2511;13;347;17;294;110;16;-;23;-;-;-;-;-;4;-;-;7;-;46;46;-;1;-;-;2;1;-;2;1;-;-;2;2;5;-;-;12;15;-;-;-;1;1;-;1;4526
"31 Minas Gerais";2212;2404;716;60;28;392;176;8;-;3;-;-;-;-;-;4;-;-;11;-;59;35;1;22;2;-;7;9;2;8;-;-;-;3;11;1;-;-;237;6;1;-;14;5;3;7;1;6448
