"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";252;148;-;20;1;17;5;7;-;-;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;3;-;4;1;-;472
"12 Acre";71;133;1;20;-;21;4;8;7;-;5;6;1;-;2;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;-;290
"13 Amazonas";253;397;42;58;-;70;10;71;6;2;11;67;26;1;-;-;-;-;11;5;-;-;-;-;-;-;-;-;-;-;6;1;-;1;-;-;2;-;-;-;4;2;4;-;1;1051
"14 Roraima";50;65;10;-;-;9;5;14;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;158
"15 Par�";631;881;30;340;1;153;18;14;7;-;43;28;7;2;-;-;-;-;27;25;-;-;-;-;-;-;-;-;-;-;2;1;1;1;-;-;5;7;-;1;-;-;6;-;2;2233
"16 Amap�";49;101;2;3;-;12;3;-;-;-;1;1;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;-;-;-;-;-;-;-;-;182
"17 Tocantins";94;398;19;12;-;33;26;8;14;-;-;-;-;-;-;-;-;-;5;3;-;12;-;-;-;-;-;-;-;-;-;1;-;-;-;2;89;-;-;-;29;-;2;-;-;747
"21 Maranh�o";677;1508;25;104;-;223;34;6;10;-;-;3;-;-;-;-;-;-;12;11;-;-;-;-;1;1;-;1;-;-;-;-;-;2;-;-;9;3;1;3;7;4;3;5;1;2654
"22 Piau�";91;1211;42;7;-;104;61;-;4;-;-;-;-;-;-;-;-;-;4;13;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;95;9;1;3;1;1;1;4;-;1653
"23 Cear�";661;1749;146;117;-;273;38;15;80;-;-;-;-;-;-;-;-;-;26;24;2;10;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;10;-;-;4;-;13;2;3;3177
"24 Rio Grande do Norte";94;965;7;4;-;89;40;-;12;-;-;-;-;-;-;-;-;-;9;8;-;-;-;-;1;2;-;7;11;-;-;-;5;-;-;-;55;6;-;-;3;1;1;4;3;1327
"25 Para�ba";114;1323;24;10;-;147;56;3;6;-;-;-;-;-;-;-;-;-;12;20;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;79;14;-;-;2;2;1;1;-;1819
"26 Pernambuco";511;1800;50;186;-;255;28;19;23;1;-;-;-;-;-;-;-;-;29;18;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;5;4;-;3;5;1;2;-;24;2970
"27 Alagoas";153;706;24;16;-;107;27;7;6;-;-;-;-;-;-;-;-;-;22;25;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;12;14;-;-;-;-;6;1;2;1135
"28 Sergipe";172;473;1;21;2;50;18;1;16;-;-;-;-;-;-;-;-;-;7;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;12;5;-;-;-;-;-;-;-;789
"29 Bahia";973;2850;13;292;10;352;113;16;38;-;-;-;-;4;-;-;7;-;42;50;-;-;-;-;-;-;-;1;1;-;-;3;2;5;-;-;12;17;-;-;2;2;1;9;4;4819
"31 Minas Gerais";2217;2727;783;47;19;489;220;8;4;-;-;-;-;6;-;-;2;-;77;47;-;4;-;-;1;-;-;-;-;-;-;2;13;3;-;-;257;7;1;-;19;5;11;13;12;6994
