"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"31 ESF3SB_M1 - ESF TIPO III COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";246;143;1;20;1;18;5;8;-;-;-;-;-;1;-;-;-;-;8;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;6;-;5;1;-;470
"12 Acre";61;129;1;29;-;21;4;9;9;-;5;6;1;-;1;-;-;-;3;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;3;-;1;289
"13 Amazonas";264;396;42;57;-;67;9;67;6;3;10;69;33;4;-;-;-;-;14;6;-;-;-;-;-;-;-;-;-;-;-;-;6;1;-;1;-;-;2;-;-;-;4;2;4;-;2;1069
"14 Roraima";46;66;11;-;-;10;4;12;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;155
"15 Par�";633;880;29;338;1;149;18;14;7;-;44;27;9;4;-;-;1;-;34;32;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;4;-;5;10;-;1;-;-;8;-;2;2255
"16 Amap�";50;122;4;6;-;18;3;-;1;-;2;1;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;-;-;-;-;-;-;-;-;217
"17 Tocantins";89;393;20;13;-;31;25;8;20;1;-;-;-;-;-;-;-;-;5;4;-;13;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;87;-;-;3;29;-;2;-;-;746
"21 Maranh�o";679;1527;26;111;-;214;33;9;11;-;-;3;-;-;-;-;-;-;15;11;-;-;-;-;-;-;1;2;-;1;-;-;-;-;-;2;-;-;9;3;1;3;7;4;3;6;1;2682
"22 Piau�";96;1212;42;1;-;106;60;-;4;-;-;-;-;4;-;-;-;-;4;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;97;10;1;3;1;1;1;4;-;1661
"23 Cear�";640;1762;148;110;-;269;38;16;107;1;-;-;-;-;-;-;-;-;54;38;3;15;-;-;-;-;-;-;-;-;1;-;-;-;2;-;4;-;1;12;-;1;4;-;13;2;3;3244
"24 Rio Grande do Norte";93;970;6;4;-;85;37;-;6;-;-;-;-;-;-;-;-;1;10;9;-;-;-;-;-;-;1;1;-;9;15;-;-;-;5;-;-;-;53;6;-;-;3;1;1;4;3;1323
"25 Para�ba";114;1344;24;8;-;153;56;3;3;-;-;-;-;-;-;-;-;-;21;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;76;21;-;-;2;2;1;2;2;1866
"26 Pernambuco";506;1805;49;183;-;246;28;19;24;1;-;-;-;-;-;-;1;-;32;20;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;6;6;-;3;5;1;2;-;25;2967
"27 Alagoas";162;705;24;17;-;97;26;7;6;-;-;-;-;-;-;-;-;-;23;36;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;12;22;-;-;-;-;6;1;2;1153
"28 Sergipe";164;490;1;12;2;48;16;1;16;-;-;-;-;1;-;-;-;-;9;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;12;5;-;1;-;-;-;-;-;791
"29 Bahia";964;2906;13;282;10;359;114;15;26;1;-;-;-;5;1;-;8;-;49;64;-;2;-;-;-;-;-;-;-;1;1;-;-;3;2;5;-;-;12;28;-;-;2;2;1;9;4;4889
"31 Minas Gerais";2234;2762;792;41;19;491;219;8;1;-;-;-;-;9;-;-;2;-;90;60;-;6;-;-;-;-;1;-;-;-;-;-;-;2;12;4;-;-;252;18;1;2;20;6;13;13;13;7091
