"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"31 ESF3SB_M1 - ESF TIPO III COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";250;144;1;15;1;18;4;8;-;-;-;-;-;-;1;-;-;-;-;8;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;6;-;5;1;-;469
"12 Acre";77;131;1;15;-;21;4;9;2;-;6;6;-;1;-;1;-;-;-;3;1;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;3;-;1;292
"13 Amazonas";262;403;41;57;-;67;10;67;6;3;8;79;1;32;4;-;-;-;-;14;6;-;-;-;-;-;-;-;-;-;-;-;-;6;1;-;1;-;-;2;-;-;-;4;2;4;-;2;1082
"14 Roraima";61;68;11;-;-;10;4;12;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;172
"15 Par�";637;880;29;335;1;149;18;14;8;-;43;28;-;10;4;-;-;1;-;34;33;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;2;4;-;5;10;-;1;-;-;8;-;2;2261
"16 Amap�";52;124;4;5;-;18;3;-;2;-;2;1;-;-;-;-;-;1;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;-;-;-;-;-;-;-;-;222
"17 Tocantins";92;398;22;11;-;31;25;8;18;-;-;-;-;-;-;-;-;-;-;5;4;-;12;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;88;-;-;3;29;-;2;-;-;751
"21 Maranh�o";686;1526;26;106;-;214;33;9;11;-;-;3;-;-;-;-;-;-;-;15;11;-;1;-;-;-;-;1;2;-;1;-;-;-;-;-;2;-;-;9;3;1;3;7;4;3;6;1;2684
"22 Piau�";94;1213;42;1;-;107;59;-;3;-;-;-;-;-;4;-;-;-;-;4;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;97;11;1;3;1;1;1;4;-;1661
"23 Cear�";695;1781;149;74;-;268;38;16;89;1;-;-;-;-;-;-;-;-;-;55;39;4;17;-;-;-;-;-;-;-;-;1;-;-;-;2;-;5;-;1;12;-;1;4;-;13;2;3;3270
"24 Rio Grande do Norte";95;976;6;4;-;85;38;-;5;-;-;-;-;-;-;-;-;-;1;9;9;-;-;-;-;-;-;-;-;-;7;15;-;-;-;5;-;-;-;53;6;-;-;3;1;1;4;3;1326
"25 Para�ba";117;1347;24;8;-;153;56;3;1;-;-;-;-;-;-;-;-;-;-;21;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;75;23;-;-;2;2;-;2;2;1871
"26 Pernambuco";524;1818;49;174;-;245;28;19;17;1;-;-;-;-;-;-;-;-;-;31;20;-;2;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;6;6;-;3;5;1;2;-;25;2981
"27 Alagoas";162;711;26;17;-;97;26;7;4;-;-;-;-;-;-;-;-;-;-;23;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;12;23;-;-;-;-;6;1;2;1160
"28 Sergipe";165;495;1;12;2;46;16;1;10;-;-;-;-;-;1;-;-;-;-;9;12;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;10;6;-;2;-;-;-;-;-;790
"29 Bahia";986;2941;13;276;10;358;113;15;18;1;-;-;-;-;7;1;-;8;-;49;65;-;2;-;-;-;-;-;-;-;1;1;-;-;3;2;5;-;-;11;28;-;1;2;2;1;9;4;4933
"31 Minas Gerais";2243;2774;795;38;19;490;218;8;-;-;-;-;-;-;9;-;-;2;-;92;65;-;6;-;-;-;-;1;-;-;-;-;-;-;2;12;4;-;-;253;21;1;4;20;6;13;13;13;7122
"32 Esp�rito Santo";325;513;3;46;-;27;12;5;14;-;-;-;-;-;51;12;-;25;1;2;3;-;2;-;-;-;2;-;3;-;1;3;-;-;-;2;2;-;-;1;1;-;-;-;-;10;1;14;1081
"33 Rio de Janeiro";1470;1022;107;239;1;207;12;1;49;10;-;-;-;-;20;-;-;8;1;71;42;-;-;-;-;-;-;90;24;10;100;33;7;-;5;6;15;-;-;-;5;-;9;-;-;1;-;5;3570
"35 S�o Paulo";3228;2317;246;424;43;371;73;4;20;8;-;-;-;-;232;39;3;118;2;212;95;9;8;-;1;1;-;100;33;14;33;18;3;-;12;9;34;8;5;135;12;1;10;13;1;15;2;2;7914
"41 Paran�";1135;1016;302;160;2;145;80;2;11;2;-;-;-;-;13;2;-;44;3;25;12;2;4;2;-;-;-;16;3;1;11;4;2;-;4;5;3;6;1;101;2;-;2;3;1;1;1;3;3132
"42 Santa Catarina";890;1007;53;41;1;118;60;2;11;-;-;-;-;-;9;-;-;5;-;13;8;-;4;-;-;-;-;1;2;-;-;-;-;-;3;1;1;4;-;110;3;-;1;11;3;4;2;7;2375
"43 Rio Grande do Sul";1058;1058;46;129;-;72;49;8;6;3;-;-;-;-;31;6;1;34;1;40;13;1;2;-;-;-;-;14;10;-;24;15;3;-;2;4;2;14;-;108;6;-;4;6;2;24;4;7;2807
