"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"31 ESF3SB_M1 - ESF TIPO III COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";52;46;-;8;-;4;1;8;-;-;-;-;-;1;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;2;1;-;315;96;18;1;11;-;3;581
"12 Acre";24;21;-;6;-;7;3;9;2;-;-;2;-;-;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;194;82;16;-;1;1;-;375
"13 Amazonas";19;52;2;21;-;13;4;58;-;-;1;15;9;3;-;-;-;-;14;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;808;590;60;2;9;-;103;1792
"14 Roraima";2;6;1;-;-;-;1;14;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;133;53;15;-;1;-;-;227
"15 Par�";216;194;17;158;1;49;8;14;5;-;21;14;8;-;-;-;-;-;36;33;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;1;9;-;1;-;-;4;-;2;1321;690;110;1;4;-;6;2927
"16 Amap�";21;47;1;5;-;12;-;-;1;-;-;-;-;-;-;-;1;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;-;-;71;44;10;-;-;-;-;222
"17 Tocantins";14;96;4;1;-;19;4;5;1;-;-;-;-;-;-;-;-;-;5;4;-;11;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;28;-;-;3;7;-;1;-;-;423;261;89;-;23;-;1;1001
"21 Maranh�o";115;173;-;33;-;54;6;7;1;-;-;-;-;-;-;-;-;-;15;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;1;3;2;-;2;2;-;2046;1217;191;1;15;1;-;3901
"22 Piau�";31;406;5;-;-;30;13;-;1;-;-;-;-;4;-;-;-;-;5;14;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;21;10;1;3;-;-;-;3;-;907;816;197;-;4;-;-;2472
"23 Cear�";39;122;9;11;-;56;13;15;18;-;-;-;-;-;-;-;-;-;57;39;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;12;-;-;-;-;-;-;-;2593;1835;230;1;22;-;1;5076
"24 Rio Grande do Norte";26;330;2;4;-;37;10;-;2;-;-;-;-;-;-;-;-;1;9;9;-;-;-;-;-;-;-;-;-;4;2;-;-;4;-;-;-;18;7;-;-;2;-;1;2;3;739;512;108;1;4;-;1;1838
"25 Para�ba";6;140;6;4;-;22;18;3;-;-;-;-;-;-;-;-;-;-;23;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;22;-;-;-;1;1;-;-;1342;1108;219;5;7;14;2;2997
"26 Pernambuco";35;147;-;117;-;48;4;15;3;1;-;-;-;-;-;-;-;-;32;21;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;2;6;-;3;-;-;2;-;21;2290;1466;218;2;10;1;1;4448
"27 Alagoas";23;134;-;7;-;18;7;6;-;-;-;-;-;-;-;-;-;-;23;38;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;3;23;-;-;-;-;-;-;-;756;593;106;-;9;-;2;1754
"28 Sergipe";48;56;-;2;1;15;7;1;1;-;-;-;-;1;-;-;-;-;9;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;6;-;-;-;-;-;-;-;574;328;46;-;1;2;2;1117
"29 Bahia";182;532;2;167;9;106;27;15;1;-;-;-;-;6;1;-;6;-;51;66;-;1;-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;2;29;-;-;1;1;-;8;1;3359;1981;337;10;10;9;84;7009
"31 Minas Gerais";489;786;180;18;13;154;94;7;-;-;-;-;-;7;-;-;1;-;92;68;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;121;23;1;-;11;3;7;5;4;4377;2362;580;16;45;7;36;9510
