"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"31 ESF3SB_M1 - ESF TIPO III COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";16;10;-;8;-;-;-;7;-;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;397;142;23;1;15;1;2;637
"12 Acre";12;13;-;3;-;6;2;10;-;-;-;2;-;-;1;-;-;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;218;135;18;-;1;1;-;428
"13 Amazonas";11;26;1;16;-;10;2;71;-;-;-;4;4;3;-;-;-;14;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;855;642;65;2;9;-;113;1857
"14 Roraima";-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;141;70;16;-;1;-;1;244
"15 Par�";67;54;-;92;1;29;5;14;1;-;11;7;2;-;-;-;-;36;33;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;9;-;1;-;-;3;-;1;1738;933;131;2;5;-;6;3185
"16 Amap�";6;20;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;165;51;20;2;-;-;1;275
"17 Tocantins";5;26;2;1;-;4;2;8;1;-;-;-;-;-;-;-;-;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;3;4;-;1;-;-;518;353;121;1;25;-;1;1099
"21 Maranh�o";80;85;-;21;-;22;2;7;1;-;-;-;-;-;-;-;-;15;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;3;1;-;2;2;-;2187;1378;215;2;16;1;2;4057
"22 Piau�";7;45;2;-;-;18;6;-;-;-;-;-;-;-;-;-;-;5;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;10;1;3;-;-;-;3;-;1301;1188;231;1;4;-;4;2851
"23 Cear�";13;32;6;9;-;40;7;16;14;-;-;-;-;-;-;-;-;56;39;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;12;-;-;-;-;-;-;-;2729;1946;250;1;22;-;2;5196
"24 Rio Grande do Norte";18;149;-;3;-;19;6;-;1;-;-;-;-;-;-;-;-;9;9;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;7;7;-;-;2;-;1;1;1;948;772;143;2;7;-;3;2112
"25 Para�ba";4;67;1;4;-;15;14;3;-;-;-;-;-;-;-;-;-;23;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;22;-;-;-;1;1;-;-;1425;1206;236;5;7;17;3;3099
"26 Pernambuco";19;58;-;50;-;32;2;20;1;-;-;-;-;-;-;-;-;32;21;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;6;-;3;-;-;-;-;1;2466;1817;235;5;32;1;3;4807
"27 Alagoas";19;82;-;2;-;17;6;8;-;-;-;-;-;-;-;-;-;23;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;23;-;-;-;-;-;-;-;818;652;109;6;9;-;2;1816
"28 Sergipe";5;12;-;1;1;9;4;1;-;-;-;-;-;1;-;-;-;9;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6;-;-;-;-;-;-;-;664;428;57;1;2;2;2;1219
"29 Bahia";97;257;2;151;8;71;18;15;-;-;-;-;-;4;1;-;4;51;66;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;1;29;-;-;1;1;-;8;1;3759;2336;381;10;11;15;90;7392
"31 Minas Gerais";195;291;74;12;7;90;55;7;-;-;-;-;-;7;-;-;-;92;68;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;56;23;1;-;9;2;3;4;4;5306;3204;733;16;60;8;110;10440
