"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";11;5;-;5;-;-;-;7;-;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;411;150;23;1;16;1;2;645
"12 Acre";11;5;-;3;-;6;2;10;-;-;-;1;-;-;1;-;-;3;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;235;142;18;-;1;1;-;443
"13 Amazonas";1;-;-;12;-;-;-;71;-;-;-;1;1;-;-;-;-;14;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;911;689;77;2;10;-;118;1915
"14 Roraima";-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;143;76;16;-;3;-;1;256
"15 Par�";22;24;-;64;1;12;5;14;1;-;5;-;-;-;-;-;-;34;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9;-;1;-;-;3;-;-;1866;984;144;5;7;-;17;3252
"16 Amap�";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;190;112;22;2;-;-;1;333
"17 Tocantins";6;21;1;1;-;4;2;8;1;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;3;4;-;1;-;-;525;365;125;1;26;-;2;1117
"21 Maranh�o";41;32;-;11;-;17;-;10;1;-;-;-;-;-;-;-;-;15;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;3;1;-;-;1;-;2290;1458;222;2;19;1;10;4149
"22 Piau�";2;17;-;-;-;13;4;-;-;-;-;-;-;-;-;-;-;5;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;10;1;3;-;-;-;1;-;1340;1224;241;1;6;-;4;2891
"23 Cear�";16;23;4;6;-;32;4;15;14;-;-;-;-;-;-;-;-;56;39;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;12;-;-;-;-;-;-;-;2749;1975;262;1;22;-;3;5235
"24 Rio Grande do Norte";14;56;-;3;-;10;4;-;-;-;-;-;-;-;-;-;-;9;9;-;-;-;-;-;-;1;-;-;-;2;-;-;-;4;7;-;-;2;-;1;-;1;1047;916;158;3;8;-;3;2258
"25 Para�ba";3;23;1;3;-;10;11;3;-;-;-;-;-;-;-;-;-;23;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;22;-;-;-;-;1;-;-;1471;1276;250;5;8;17;4;3171
"26 Pernambuco";12;25;-;44;-;27;1;20;1;-;-;-;-;-;-;-;-;32;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6;-;3;-;-;-;-;-;2518;1889;241;6;33;1;3;4886
"27 Alagoas";7;10;-;-;-;8;4;8;-;-;-;-;-;-;-;-;-;23;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;23;-;-;-;-;-;-;-;908;744;122;6;9;1;5;1917
"28 Sergipe";-;1;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;9;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;-;-;690;443;69;1;3;2;3;1244
"29 Bahia";52;87;-;95;7;42;13;15;-;-;-;-;-;-;-;-;-;52;67;-;-;-;-;-;-;-;-;-;-;-;3;-;-;1;29;-;-;1;1;-;8;1;4039;2784;409;11;11;18;104;7850
"31 Minas Gerais";101;133;30;11;6;63;33;7;-;-;-;-;-;7;-;-;-;95;68;-;-;-;-;-;-;-;-;-;-;1;-;-;-;34;22;1;-;4;1;3;3;3;5621;3496;801;17;68;16;131;10776
