"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";4;3;-;3;-;-;-;7;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;424;152;24;1;18;1;2;650
"12 Acre";4;2;-;2;-;1;1;10;-;-;-;1;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;248;145;20;1;4;1;14;459
"13 Amazonas";1;-;-;3;-;-;-;70;-;-;-;1;-;-;-;-;14;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;931;701;77;2;11;-;118;1936
"14 Roraima";-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;144;85;16;-;3;-;1;269
"15 Par�";4;2;-;11;-;2;1;14;-;-;3;-;-;-;-;-;35;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;1965;1025;155;5;12;-;17;3292
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;193;127;24;2;-;-;1;352
"17 Tocantins";3;6;-;1;-;3;-;8;1;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;2;-;1;-;-;544;432;133;1;31;-;2;1181
"21 Maranh�o";13;4;-;5;-;6;-;11;1;-;-;-;-;-;-;-;15;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;1;-;-;1;-;2356;1543;231;2;19;4;10;4237
"22 Piau�";-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;5;14;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10;1;1;-;-;-;-;-;1354;1257;254;1;9;-;4;2915
"23 Cear�";4;3;-;4;-;16;1;18;13;-;-;-;-;-;-;-;55;39;1;-;-;-;-;-;-;-;-;1;-;-;-;-;12;-;-;-;-;-;-;-;2791;2101;281;1;22;-;7;5370
"24 Rio Grande do Norte";-;1;-;3;-;6;3;-;-;-;-;-;-;-;-;-;10;9;-;-;-;-;-;1;-;-;-;-;-;-;-;1;6;-;-;2;-;-;-;-;1116;1022;166;5;10;-;2;2363
"25 Para�ba";1;-;-;3;-;2;-;3;-;-;-;-;-;-;-;-;22;30;-;-;-;-;-;-;-;-;-;-;-;-;-;2;23;-;-;-;-;1;-;-;1498;1360;275;5;8;19;4;3256
"26 Pernambuco";1;-;-;38;-;5;-;20;1;-;-;-;-;-;-;-;32;22;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;-;-;2563;1968;260;6;36;2;8;4969
"27 Alagoas";3;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;22;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;923;761;136;6;9;1;5;1935
"28 Sergipe";-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;9;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;692;466;71;1;3;2;3;1268
"29 Bahia";15;22;-;54;5;9;3;16;-;-;-;-;-;-;-;-;52;67;-;-;-;-;-;-;-;-;-;-;3;-;-;-;29;-;-;-;-;-;-;-;4192;2979;443;12;24;19;140;8084
"31 Minas Gerais";50;31;9;9;5;28;8;7;-;-;-;-;4;-;-;-;93;66;-;-;-;-;-;-;-;-;-;-;-;-;-;5;22;1;-;-;-;2;-;2;5805;3721;877;18;78;16;140;10997
"32 Esp�rito Santo";17;9;-;14;-;3;3;5;1;-;-;-;2;-;-;-;3;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;866;610;34;5;25;13;117;1733
"33 Rio de Janeiro";77;17;7;40;1;6;3;2;1;1;-;-;7;-;-;3;75;43;-;-;13;2;1;10;2;2;2;-;-;-;-;-;3;1;-;-;-;-;-;-;2984;1261;203;25;7;1;114;4914
"35 S�o Paulo";93;26;2;137;15;21;12;5;5;-;-;-;51;8;2;28;220;97;1;-;4;-;-;3;-;-;3;1;3;5;7;7;10;1;-;-;1;5;1;1;6305;3302;542;56;63;21;1324;12388
