"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;1;-;1;-;-;-;7;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;432;175;25;1;18;2;11;687
"12 Acre";2;-;-;1;-;1;-;10;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;255;161;17;1;5;3;18;479
"13 Amazonas";-;-;-;2;-;-;-;73;-;-;-;1;-;-;-;-;12;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1004;761;77;3;12;-;143;2094
"14 Roraima";-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;151;98;16;-;4;-;1;301
"15 Par�";4;-;-;8;-;2;-;16;-;-;2;-;-;-;-;-;42;40;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;2040;1167;137;5;16;8;135;3633
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;198;143;24;2;2;-;3;378
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;573;472;137;2;25;2;8;1242
"21 Maranh�o";8;1;-;2;-;2;-;12;-;-;-;-;-;-;-;-;17;19;-;-;-;-;-;-;-;-;-;-;-;-;-;11;1;-;-;-;-;-;2472;1737;219;3;21;24;16;4565
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;15;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1;-;-;-;-;-;1376;1276;249;1;13;4;4;2955
"23 Cear�";2;-;-;3;-;13;-;21;2;-;-;-;-;-;-;-;57;41;1;-;-;-;-;-;-;-;1;-;-;-;-;14;-;-;-;-;-;-;2853;2177;284;3;21;6;26;5525
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;-;9;10;-;-;-;-;1;-;-;-;-;-;-;-;1;9;-;2;-;-;-;-;1129;1083;157;5;11;-;12;2439
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;24;35;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;1515;1414;261;5;11;24;7;3328
"26 Pernambuco";-;-;-;34;-;4;-;21;1;-;-;-;-;-;-;-;32;28;-;-;-;-;-;-;-;-;-;-;-;-;1;10;-;-;-;-;-;-;2610;2049;244;7;36;2;65;5144
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;24;38;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;929;776;129;6;9;5;15;1966
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;15;17;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;708;492;69;1;4;9;20;1345
"29 Bahia";12;12;-;52;5;5;-;16;-;-;-;-;-;-;-;-;57;78;-;-;-;-;-;-;-;-;-;3;-;-;-;35;-;-;-;-;-;-;4242;3322;390;13;25;58;230;8555
"31 Minas Gerais";40;11;3;9;5;21;2;9;-;-;-;-;4;-;-;-;97;78;-;-;-;-;-;-;-;-;-;-;-;-;1;25;1;-;-;2;-;2;5939;4035;870;19;85;46;249;11553
