"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;-;-;1;-;-;-;7;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;440;182;25;1;18;2;16;706
"12 Acre";2;-;-;1;-;1;-;7;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;258;166;15;1;6;4;24;490
"13 Amazonas";-;-;-;2;-;-;-;62;-;-;1;-;-;-;-;23;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1022;773;77;3;12;1;146;2132
"14 Roraima";-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154;99;16;-;4;-;1;301
"15 Par�";1;-;-;5;-;2;-;17;-;1;-;-;-;-;-;48;51;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;2066;1238;130;6;20;13;160;3774
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;199;147;24;2;2;-;11;392
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;587;477;136;2;24;3;10;1262
"21 Maranh�o";8;1;-;1;-;2;-;11;-;-;-;-;-;-;-;19;26;-;-;-;-;-;-;-;-;-;-;-;-;-;16;1;-;-;-;-;-;2532;1749;208;4;22;45;22;4667
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;16;-;-;-;-;-;-;-;-;-;-;-;-;-;10;1;-;-;-;-;-;1386;1289;247;1;13;17;4;2991
"23 Cear�";-;-;-;3;-;13;-;22;-;-;-;-;-;-;-;64;53;1;-;-;-;-;-;-;-;1;-;-;-;-;23;-;-;-;-;-;-;2917;2281;272;3;20;17;37;5727
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;11;13;-;-;-;-;1;-;-;-;-;-;-;-;1;10;-;2;-;-;-;-;1156;1096;154;5;22;2;13;2496
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;25;42;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;1545;1449;249;5;18;26;15;3411
"26 Pernambuco";-;-;-;34;-;4;-;20;1;-;-;-;-;-;-;40;37;-;-;-;-;-;-;-;-;-;-;-;-;1;17;-;-;-;-;-;-;2672;2113;234;9;63;4;89;5338
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;24;41;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;939;807;128;6;10;8;24;2025
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;15;19;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;726;510;68;1;7;11;26;1395
"29 Bahia";12;12;-;48;5;5;-;16;-;-;-;-;-;-;-;65;93;-;-;-;-;-;-;-;-;-;3;-;-;-;48;-;-;-;-;-;-;4326;3445;366;13;32;79;253;8821
"31 Minas Gerais";39;11;3;9;5;21;1;9;-;-;-;4;-;-;-;108;83;-;-;-;-;-;-;-;-;-;-;-;-;1;30;3;-;-;2;-;2;6091;4222;836;25;122;57;277;11961
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;6;6;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1011;699;40;9;30;19;175;2035
"33 Rio de Janeiro";51;9;6;36;1;2;1;2;-;-;-;6;-;-;3;81;49;-;-;7;1;10;1;1;1;-;-;-;-;-;7;2;-;-;-;-;-;3338;1628;246;33;68;31;260;5881
"35 S�o Paulo";58;14;1;93;13;15;8;4;3;-;-;38;7;2;13;248;113;-;-;2;-;2;-;-;2;1;3;5;6;5;14;1;-;-;2;1;-;6693;4396;597;64;119;47;2497;15087
"41 Paran�";24;4;1;13;1;7;3;3;-;-;-;-;-;-;-;37;20;-;-;-;-;-;-;-;1;1;-;2;-;3;9;-;-;-;-;-;-;2693;1948;278;10;20;94;434;5606
"42 Santa Catarina";5;2;1;7;-;1;1;4;-;-;-;1;-;-;-;25;13;-;-;-;-;-;-;-;-;-;-;-;-;-;9;70;-;-;-;1;-;2198;1423;565;5;36;34;184;4585
"43 Rio Grande do Sul";1;1;-;25;-;4;1;9;1;-;-;-;1;-;-;44;13;-;-;-;-;1;-;-;-;-;-;2;-;-;11;-;-;1;-;-;-;2506;1582;154;12;67;92;610;5138
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;25;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;751;653;96;4;71;9;24;1669
"51 Mato Grosso";-;-;-;3;-;-;-;17;-;-;-;-;-;-;-;5;6;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;925;677;74;3;16;2;35;1767
"52 Goi�s";-;-;-;4;-;10;-;2;-;-;-;1;-;-;-;44;54;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;1705;1330;154;11;76;60;137;3621
"53 Distrito Federal";2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;620;299;46;5;27;8;-;1035
"Total";220;63;12;308;25;102;19;290;5;1;1;50;8;2;16;990;789;1;1;9;1;14;1;1;4;3;6;9;6;12;325;81;3;1;4;2;2;51456;36678;5435;243;945;685;5484;104313
