"Mes 1 Sintoma(s)","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Total"
"Janeiro",30,67,151,120,190,231,466,574,953,1315,1165,838,6100
"Fevereiro",40,75,120,123,159,256,426,512,914,1093,1069,797,5584
"Marco",45,91,119,118,161,301,548,572,1120,949,897,860,5781
"Abril",44,63,84,171,161,243,438,454,1110,1057,602,711,5138
"Maio",48,80,104,134,155,291,445,656,1062,1095,731,685,5486
"Junho",37,62,101,135,169,281,481,603,1041,965,651,469,4995
"Julho",49,67,88,124,191,304,482,724,1184,1067,655,"-",4935
"Agosto",41,84,105,142,185,319,535,831,1204,1078,779,"-",5303
"Setembro",35,68,83,182,193,371,506,665,1030,1068,838,"-",5039
"Outubro",46,72,93,189,179,402,441,742,1184,962,799,"-",5109
"Novembro",48,64,80,173,180,388,377,799,1126,938,804,"-",4977
"Dezembro",53,65,103,136,186,325,371,828,961,874,708,"-",4610
"Total",516,858,1231,1747,2109,3712,5516,7960,12889,12461,9698,4360,63057
" Fonte: Ministerio da Saude/SVS - Sistema de Informacao de Agravos de Notificacao - Sinan Net",,,,,,,,,,,,,
