"Mes 1 Sintoma(s)","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Total"
"Janeiro",5,51,69,132,152,159,270,524,752,1127,956,702,4899
"Fevereiro",4,64,66,103,149,93,253,432,566,990,761,774,4255
"Marco",9,37,108,110,160,107,310,523,785,863,783,936,4731
"Abril",6,44,74,120,184,129,289,379,724,844,347,805,3945
"Maio",5,39,65,94,190,162,257,562,748,936,351,909,4318
"Junho",9,32,65,125,133,182,366,469,725,787,524,687,4104
"Julho",5,36,76,128,202,219,407,475,913,937,836,"-",4234
"Agosto",14,46,92,137,154,203,397,552,1103,860,705,"-",4263
"Setembro",17,39,52,104,101,214,389,494,822,853,735,"-",3820
"Outubro",17,35,63,158,114,234,425,540,1074,870,804,"-",4334
"Novembro",41,32,53,151,98,281,371,658,998,887,686,"-",4256
"Dezembro",27,61,70,118,102,202,338,491,758,789,747,"-",3703
"Total",159,516,853,1480,1739,2185,4072,6099,9968,10743,8235,4813,50862
" Fonte: Ministerio da Saude/SVS - Sistema de Informacao de Agravos de Notificacao - Sinan Net",,,,,,,,,,,,,
