"Mes 1 Sintoma(s)","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Total"
"Janeiro",253,611,1574,2101,2736,2982,3703,5167,5909,6695,6899,5192,43822
"Fevereiro",141,724,1373,1973,2566,2822,3602,4371,5106,6449,5376,4906,39409
"Marco",143,854,1539,2129,2403,3383,4208,5337,6255,5767,5091,5373,42482
"Abril",141,881,1447,2434,2567,3011,3732,4445,6338,5914,3086,4452,38448
"Maio",100,1212,1589,2089,2600,3239,3968,5592,6047,6184,3510,4069,40199
"Junho",150,1270,1556,2044,2303,3258,4376,5104,5478,5157,4325,2769,37790
"Julho",213,1271,1813,2248,2928,3305,4057,5449,6240,6182,4839,"-",38545
"Agosto",180,1385,1894,2477,2839,3364,4368,6230,7001,6326,4678,"-",40742
"Setembro",211,1299,1671,2392,2886,3363,3809,5460,5929,6167,4377,"-",37564
"Outubro",267,1277,1897,2367,2923,3381,4270,5254,6704,6355,3705,"-",38400
"Novembro",335,1270,1529,2188,2587,3705,4663,5526,5858,5551,4080,"-",37292
"Dezembro",444,1161,1494,2159,2859,3472,4672,5332,5613,5320,4548,"-",37074
"Total",2578,13215,19376,26601,32197,39285,49428,63267,72478,72067,54514,26761,471767
" Fonte: Ministerio da Saude/SVS - Sistema de Informacao de Agravos de Notificacao - Sinan Net",,,,,,,,,,,,,
