"Mes 1 Sintoma(s)","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Total"
"Janeiro",19,89,271,503,674,1235,1558,2088,3091,3185,2919,2231,17863
"Fevereiro",6,67,212,370,543,1170,1535,1769,2796,3134,2740,2201,16543
"Marco",3,92,331,454,573,1602,1926,2361,3430,2883,2354,2445,18454
"Abril",8,118,210,489,721,1349,1680,1812,3574,2876,1601,2240,16678
"Maio",12,167,313,474,721,1416,1793,2215,3362,3103,2039,2102,17717
"Junho",20,174,275,473,745,1347,1866,2078,2943,2661,2182,1573,16337
"Julho",25,127,336,617,875,1526,1765,2275,3162,2947,2136,"-",15791
"Agosto",17,134,441,549,1031,1552,2180,2908,3411,3100,2184,"-",17507
"Setembro",33,145,387,595,1047,1557,1884,2668,2792,2994,2450,"-",16552
"Outubro",52,145,435,590,1181,1496,1883,3012,3320,3617,2319,"-",18050
"Novembro",63,149,383,560,1013,1588,1954,3185,2862,3033,2279,"-",17069
"Dezembro",66,179,360,471,1102,1521,1702,2942,2541,2536,1988,"-",15408
"Total",324,1586,3954,6145,10226,17359,21726,29313,37284,36069,27191,12792,203969
" Fonte: Ministerio da Saude/SVS - Sistema de Informacao de Agravos de Notificacao - Sinan Net",,,,,,,,,,,,,
