"Faixa Etaria","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"Em branco/IGN","-","-","-",1,2,"-","-",2,"-","-","-",1,6
"<1 Ano",15,32,46,58,139,131,85,49,38,40,29,31,693
"1-4",31,54,73,114,363,264,144,100,64,68,55,47,1377
"5-9",34,72,113,166,465,390,233,156,68,62,58,58,1875
"10-14",47,93,129,183,503,357,251,167,59,46,69,54,1958
"15-19",29,72,138,236,520,402,251,138,68,54,78,47,2033
"20-39",234,389,698,940,2232,1873,1216,823,373,216,240,245,9479
"40-59",163,283,471,634,1462,1182,778,514,244,125,140,172,6168
"60-64",13,39,83,97,238,174,94,67,22,8,17,33,885
"65-69",12,48,60,81,140,101,71,45,18,9,9,28,622
"70-79",17,39,68,106,169,135,73,49,20,8,20,35,739
"80 e +",3,16,30,30,67,48,32,28,9,4,8,18,293
"Total",598,1137,1909,2646,6300,5057,3228,2138,983,640,723,769,26128
