"Faixa Etaria","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"Em branco/IGN","-","-","-","-","-",1,"-","-","-",1,"-",1,3
"<1 Ano",4,2,4,3,2,8,3,8,5,6,5,6,56
"1-4",7,3,5,8,10,2,5,7,5,6,4,2,64
"5-9",12,13,10,10,9,3,4,4,10,9,17,3,104
"10-14",20,16,23,13,13,13,7,20,9,14,19,21,188
"15-19",19,28,31,24,23,18,17,17,12,30,23,26,268
"20-39",142,122,123,85,105,64,72,111,115,130,126,96,1291
"40-59",103,90,116,65,85,71,62,94,90,92,99,74,1041
"60-64",21,12,18,17,17,15,11,21,15,16,16,14,193
"65-69",16,10,15,16,11,6,10,13,9,15,15,20,156
"70-79",10,18,24,17,32,18,22,20,16,17,26,21,241
"80 e +",18,11,18,9,9,9,9,5,5,9,9,12,123
"Total",372,325,387,267,316,228,222,320,291,345,359,296,3728
