"Faixa Etaria","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"<1 Ano",3,"-","-",2,2,1,2,"-","-",1,"-",2,13
"1-4",1,3,1,3,1,3,2,2,6,1,3,3,29
"5-9",4,6,1,2,"-",2,3,5,6,2,7,2,40
"10-14",4,5,5,8,2,5,3,6,7,7,10,5,67
"15-19",2,6,6,3,7,"-",6,5,7,4,4,5,55
"20-39",28,25,34,31,31,28,23,29,28,29,34,29,349
"40-59",51,72,74,36,44,40,29,51,34,38,46,41,556
"60-64",11,14,16,8,12,11,5,15,15,10,11,18,146
"65-69",8,11,3,11,7,12,7,16,13,5,7,9,109
"70-79",17,16,14,13,16,10,12,19,7,10,22,11,167
"80 e +",6,8,7,7,4,7,8,11,7,3,6,6,80
"Total",135,166,161,124,126,119,100,159,130,110,150,131,1611
