"Faixa Etaria","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"Em branco/IGN","-","-","-","-","-",1,"-","-","-","-","-","-",1
"10-14",13,12,13,7,13,10,9,5,6,9,6,10,113
"15-19",271,256,264,131,189,201,209,217,219,230,184,173,2544
"20-39",1580,1576,1472,1027,1262,1342,1412,1301,1588,1437,1378,1246,16621
"40-59",703,650,567,387,408,455,462,451,525,515,475,465,6063
"60-64",112,99,101,50,77,63,60,57,75,71,79,55,899
"65-69",80,79,73,27,33,42,34,56,42,49,58,63,636
"70-79",70,71,62,36,52,49,41,42,36,49,64,58,630
"80 e +",35,20,17,11,16,12,15,15,12,18,17,16,204
"Total",2864,2763,2569,1676,2050,2175,2242,2144,2503,2378,2261,2086,27711
