"Fx Etaria 13","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"Menor 1 ano",4,3,7,7,7,7,7,11,6,17,6,9,91
"1 a 4 anos",3,7,10,15,16,18,23,11,10,12,3,6,134
"5 a 9 anos",8,4,8,10,13,9,14,11,12,7,11,10,117
"10 a 14 anos",11,14,18,16,18,7,12,17,16,13,13,16,171
"15 a 19 anos",56,76,95,70,81,61,68,89,67,64,67,68,862
"20 a 29 anos",405,427,464,346,365,335,381,374,355,355,330,335,4472
"30 a 39 anos",258,251,333,235,274,210,294,270,266,284,237,230,3142
"40 a 49 anos",209,174,237,180,223,184,226,219,175,213,191,183,2414
"50 a 59 anos",169,192,207,181,179,145,183,166,158,158,163,152,2053
"60 a 69 anos",130,106,155,130,130,97,118,116,107,117,95,109,1410
"70 a 79 anos",46,49,50,55,47,44,46,54,46,52,44,42,575
"80 anos e mais",18,20,21,17,22,15,19,19,10,16,13,18,208
"Total",1317,1323,1605,1262,1375,1132,1391,1357,1228,1308,1173,1178,15649
