"Faixa Etaria","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"Em branco/IGN","-",8,12,20,34,25,8,11,5,2,1,2,128
"<1 Ano",59,132,345,539,779,731,482,395,237,147,160,158,4164
"1-4",153,369,910,1567,2279,1785,1259,849,449,341,310,271,10542
"5-9",252,686,1610,2919,4241,3293,2219,1418,751,482,421,371,18663
"10-14",271,815,1934,3428,5197,3852,2504,1683,789,458,374,286,21591
"15-19",246,685,1987,3696,5331,3917,2284,1697,808,479,395,326,21851
"20-39",1330,2685,7266,13998,20627,17829,10686,7476,3968,2366,1871,1562,91664
"40-59",778,1772,4564,8976,12589,10624,6334,4247,2139,1052,960,864,54899
"60-64",93,240,596,1289,1728,1448,805,592,256,122,111,106,7386
"65-69",69,183,473,964,1265,973,574,382,202,72,68,82,5307
"70-79",86,206,578,1167,1609,1151,700,483,213,104,115,125,6537
"80 e +",36,69,234,505,664,472,299,201,92,33,23,52,2680
"Total",3373,7850,20509,39068,56343,46100,28154,19434,9909,5658,4809,4205,245412
