"Faixa Etaria","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"<1 Ano","-",1,3,2,1,1,2,2,2,2,3,1,20
"1-4",4,4,1,3,2,3,3,5,6,5,1,4,41
"5-9","-","-",1,"-",4,1,"-",4,3,5,1,"-",19
"10-14","-","-",2,"-","-","-","-",1,"-","-","-",1,4
"15-19",1,"-",3,1,2,2,1,3,"-","-","-",1,14
"20-39",8,10,10,13,8,6,6,6,8,6,6,7,94
"40-59",8,7,9,10,15,8,12,7,7,6,10,9,108
"60-64",1,2,3,1,2,3,1,"-",4,1,2,1,21
"65-69",3,"-",1,"-",1,1,"-",4,1,3,2,2,18
"70-79",2,"-",1,"-",3,"-",4,4,1,2,3,2,22
"80 e +",2,"-",2,1,2,2,"-","-","-","-",1,"-",10
"Total",29,24,36,31,40,27,29,36,32,30,29,28,371
