"Faixa Etaria","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"Em branco/IGN","-","-","-","-","-",1,1,"-","-",1,2,1,6
"<1 Ano",16,6,13,9,18,15,9,25,10,12,15,19,167
"1-4",16,14,23,18,25,19,21,13,17,17,14,22,219
"5-9",33,46,32,33,29,17,23,26,28,22,41,23,353
"10-14",72,56,80,61,54,52,38,63,43,44,61,44,668
"15-19",96,121,121,97,115,72,85,84,89,89,80,75,1124
"20-39",509,532,517,442,482,366,363,430,425,442,478,384,5370
"40-59",396,405,421,291,333,303,284,386,324,328,333,310,4114
"60-64",67,59,67,53,62,55,42,73,50,55,64,57,704
"65-69",45,39,43,46,36,42,36,48,47,37,43,47,509
"70-79",58,72,68,51,80,53,62,67,48,48,71,47,725
"80 e +",28,30,37,26,23,27,26,24,24,20,20,27,312
"Total",1336,1380,1422,1127,1257,1022,990,1239,1105,1115,1222,1056,14271
